precio;sub_descr;href;ubicacion;habitaciones;banios;otros;latitude;longitude;mt2;planta;CCAA
1.500 €/mes;;/alquilar/chalet-campano_san_andres_golf-37554284666_514376/;Campano-San Andrés Golf (Chiclana de la Frontera);4 habs.;3 baños;Alquiler de mágnifico chalet en zona de campano, consta de 4 dormitorios, 3 baños, salón comedor con chimenea y acceso a porche tr...;36.3527203;-6.1172981;130 m²;;cadiz
1.600 €/mes;;/alquilar/casa_adosada-zona_playa_virgen_del_mar-314472039_501368/;Zona Playa Virgen del Mar (Rota);5 habs.;4 baños;Fantástica  casa para todo el año sin amueblar en una inmejorable zona comercial y bien comunicado a solo unos minutos de la playa...;36.6249228;-6.3662872;200 m²;;cadiz
800 €/mes;;/alquilar/piso-san_jose_varela_la_laguna11009-13398580669_100500/;San José-Varela-La Laguna (Cádiz Capital);2 habs.;1 baño;"Alquiler en verano por semana o quincena.
 
 Esta cuarta planta exterior con ascensor se encuentra en zona residencia. Todo nuevo....";36.509875;-6.2769151;78 m²;4ª planta;cadiz
600 €/mes;;/alquilar/apartamento-noreste11405-35033714041_100500/;Noreste (Jerez de la Frontera);1 hab.;1 baño;"Nos complace ofrecerles coqueto apartamento en alquiler en zona universidad rodeado de todo tipo de servicios.
El inmueble está si...";36.6862918;-6.1245704;40 m²;1ª planta;cadiz
700 €/mes;;/alquilar/apartamento-el_mentidero_teatro_falla_alameda-38352332399_516894/;El Mentidero-Teatro Falla-Alameda (Cádiz Capital);1 hab.;1 baño;"Cadizsur servicios inmobiliarios les presenta en alquiler de temporada hasta junio/25, ""exclusivamente para estudiantes o trabajad...";36.5351171;-6.3004996;41 m²;1ª planta;cadiz
900 €/mes;Casa en calle de Hijuela de Lojo, 2;/alquilar/casa-conil_de_la_frontera_centro_urbano-45097449495_103800/;Conil de la Frontera;3 habs.;;"1-7 septiembre 900 €
7-14 septiembre
15-21 septiembre 750 €
Estancia mínima una semana
A partir del 21 de septiembre hasta junio s...";36.2835;-6.0934;120 m²;;cadiz
2.400 €/mes;;/alquilar/chalet-urbanizaciones_zona_norte-45095751706_526077/;Urbanizaciones Zona Norte (El Puerto de Santa María);5 habs.;5 baños;Magnífico chalet con piscina, situado en la carretera de fuentebravía a 7 minutos andando al centro comercial de vistahermosa y a ...;36.601318465;-6.252551265;200 m²;;cadiz
1.800 €/sem;;/alquilar/chalet-urbanizaciones_zona_norte-45017371952_528503/;Urbanizaciones Zona Norte (El Puerto de Santa María);3 habs.;3 baños;"Chalet independiente disponible para alquiler vacacional ,en el puerto de santa maría ,estancia mínima de una semana ,
-parcela de...";36.6116517;-6.2340564;140 m²;;cadiz
2.300 €/mes;;/alquilar/casa_adosada-nucleo_urbano_urbanizaciones-35879242288_100500/;Núcleo Urbano-Urbanizaciones (Chiclana de la Frontera);3 habs.;2 baños;"Alquiler apartamento planta baja  en aldea del coto.
Cuenta con tres dormitorios con capacidad para seis personas.  Dos dormitorio...";36.4196641;-6.1497605;95 m²;;cadiz
4.000 €/mes;;/alquilar/chalet-el_puerto_de_santa_maria_valdelagrana-45846611764_100500/;Valdelagrana (El Puerto de Santa María);3 habs.;2 baños;"Chalet de alquiler vacacional en valdelagrana, en una sola planta y con un precioso jardín.

La casa es de una sola planta y está ...";36.5821956;-6.216736;110 m²;;cadiz
725 €/mes;;/alquilar/apartamento-costa_de_sancti_petri_playa_de_la_barrosa11139-38393510687_103800/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);2 habs.;1 baño;"No alquiler de verano
Alquliler ppara temporada
Se alquila solo temporada escolar, hasta junio. (septiembre a junio)
Este espectac...";36.3683028;-6.1709152;70 m²;;cadiz
1.000 €/mes;;/alquilar/apartamento-pinar_alto_crevillet_menesteo-902372312_516524/;Pinar Alto-Crevillet-Menesteo (El Puerto de Santa María);1 hab.;1 baño;"Se alquila apartamento temporada de verano.

Por semanas o quincenas.

Precioso apartamento luminosos y soleado, consta de un dorm...";36.593363665;-6.238095324;55 m²;1ª planta;cadiz
1.000 €/mes;;/alquilar/piso-centro_calzada-40865284043_103800/;Centro-Calzada (Sanlúcar de Barrameda);3 habs.;1 baño;"Junio y 
Septiembre 1000€ quincenas
Vivienda en alquiler temporada estival. Piso situado en plena calzada de la duquesa isabel, a ...";36.7811847;-6.355962;90 m²;3ª planta;cadiz
50 €/día;Piso en calle de Zoilo Ruiz-Mateos Camacho, nº 6;/alquilar/piso-jerez_de_la_frontera_centro-945856908883665_109700/;Centro (Jerez de la Frontera);2 habs.;1 baño;"!!! Atención solo alquiler vacacional por días, (no se alquila por temporadas largas)!!!
Solo se alquila para vacaciones días, sem...";36.6882;-6.14894;98 m²;Bajo;cadiz
3.500 €/mes;;/alquilar/chalet-costa_de_sancti_petri_playa_de_la_barrosa11139-43371418192_100500/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);5 habs.;3 baños;Se alquila precioso chalet independiente para 10 personas con 5 dormitorios, 3 baños completos, salón-comedor, cocina independient...;36.3706756;-6.1736302;154 m²;;cadiz
800 €/mes;;/alquilar/piso-la_paz_segunda_aguado_loreto-35028116537_501539/;La Paz-Segunda Aguado-Loreto (Cádiz Capital);4 habs.;2 baños;"Se alquila vacaciones 2023 
Libre del 1 al 31 de julio, del 14 de agosto al 31 de agosto.  
Se alquila temporada escolar 2023/2024...";36.5130867;-6.2762859;99 m²;4ª planta;cadiz
2.700 €/mes;;/alquilar/chalet-urbanizaciones_zona_norte-27582956138_100500/;Urbanizaciones Zona Norte (El Puerto de Santa María);4 habs.;4 baños;Fersa inmobiliaria ofrece en alquiler sin muebles, en el camino viejo de rota, magnífica casa de campo, rodeada de un bonito jardí...;36.6088582;-6.2424735;265 m²;;cadiz
699 €/mes;;/alquilar/piso-san_jose_varela_la_laguna11009-43425956731_108700/;San José-Varela-La Laguna (Cádiz Capital);2 habs.;1 baño;"Temporada escolar o vacacional.
Si estas buscando un piso prácticamente a estrenar pero amueblado para entrar a vivir , esta es tu...";36.5091179;-6.275902;58 m²;;cadiz
A consultar;;/alquilar/piso-la_jara_distrito-45909213289_528241/;La Jara (Sanlúcar de Barrameda);2 habs.;2 baños;Magnifico apartamento, ubicado en zona muy tranquila en la jara, con todas las comodidades necesarias. Disfruta de una zona de poc...;36.7721989;-6.3775257;100 m²;Bajo;cadiz
60 €/día;Piso en calle de Juan Ramón Jiménez, 13;/alquilar/piso-las_palmeras_dehesilla-37563959822_521550/;Las Palmeras-Dehesilla (Sanlúcar de Barrameda);2 habs.;1 baño;"Vivienda de dos dormitorios totalmente amueblada y equipada. A estrenar. 

Alquiler de temporadas cortas. 2 dormitorios.  Cocina c...";36.76735064195065;-6.345420689282223;55 m²;1ª planta;cadiz
700 €/mes;;/alquilar/chalet_adosado-costa_de_sancti_petri_playa_de_la_barrosa11139-45867833591_995624/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);4 habs.;3 baños;Libre a partir de octubre, incluido. El precio es orientativo, según las personas que vayan. Alquiler mínimo un mes y gastos y hon...;36.3691534;-6.1805865;150 m²;;cadiz
1.500 €/mes;;/alquilar/chalet-costa_de_sancti_petri_playa_de_la_barrosa11139-45860113148_100500/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);4 habs.;3 baños;"Espectacular chalet en la carretera de la barrosa

Este magnífico chalet ofrece un estilo de vida inigualable en una ubicación pri...";36.369559;-6.179681;160 m²;;cadiz
650 €/mes;;/alquilar/piso-la_paz_segunda_aguado_loreto11012-44253911353_100500/;La Paz-Segunda Aguado-Loreto (Cádiz Capital);3 habs.;2 baños;A pocos minutos de la playa. Tenemos viviendas para alquiler de  corta duracion, no son de larga duracion ni de temporada escolar....;36.5119489;-6.2753411;92 m²;4ª planta;cadiz
850 €/mes;;/alquilar/chalet-pinar_de_los_franceses_el_marquesado11130-45037737922_525281/;Pinar de los Franceses-El Marquesado (Chiclana de la Frontera);3 habs.;2 baños;"Luxury pm inmobiliaria les presenta alquiler temporal, en el marquesado chiclana de la frontera. 
La vivienda cuenta con una ampli...";36.4354733;-6.126686;89 m²;;cadiz
660 €/mes;;/alquilar/piso-cadiz_capital_centro_historico11001-45064160121_511045/;Centro Histórico (Cádiz Capital);1 hab.;1 baño;Cádiz inmobiliaria les presenta este coqueto inmueble  en alquiler por temporada escolar ,desde el  1 de septiembre de 2024   al 3...;36.5315262;-6.3012541;50 m²;Bajo;cadiz
300 €/día;;/alquilar/chalet_rustico-pinar_de_los_franceses_el_marquesado11138-42509188465_516977/;Pinar de los Franceses-El Marquesado (Chiclana de la Frontera);3 habs.;4 baños;Descubre la sublime villa ensueño, un refugio ubicado en el corazón de la naturaleza pura de pinar de los franceses. Esta residenc...;36.4459043;-6.1427399;150 m²;;cadiz
800 €/mes;Piso en calle Paúl, 2;/alquilar/piso-jerez_de_la_frontera_centro11402-8395446780_100500/;Centro (Jerez de la Frontera);3 habs.;2 baños;"Vivienda situada en zona de puertas de sevilla muy cerca del centro y rodeada de todo tipo de comercio y supermercados. 

La vivi...";36.6906;-6.13546;98 m²;1ª planta;cadiz
850 €/mes;;/alquilar/piso-jerez_de_la_frontera_centro11402-42597435627_992777/;Centro (Jerez de la Frontera);2 habs.;1 baño;Apartamento muy amplio y totalmente reformado con calidades de lujo que consta de dos dormitorios, un baño, salón-comedor cocina e...;36.6822883;-6.1368279;90 m²;3ª planta;cadiz
750 €/mes;;/alquilar/piso-noreste-37549620143_991703/;Noreste (Jerez de la Frontera);3 habs.;2 baños;No se admiten animales domesticos. Piso de 3 dormitorios y 2 baños en urbanización cerrada con parking de superficie indefinida de...;36.697254165;-6.112457892;119 m²;1ª planta;cadiz
600 €/mes;;/alquilar/piso-jerez_de_la_frontera_centro11402-35855164767_100500/;Centro (Jerez de la Frontera);1 hab.;1 baño;Piso en jerez de la frontera ubicada en zona centro - doña blanca - que consta de un dormitorio, baño, cocina equipada, salón – co...;36.6880473;-6.1293971;65 m²;Bajo;cadiz
1.900 €/mes;;/alquilar/piso-sanlucar_de_barrameda_las_piletas-28342815938_100500/;Las Piletas (Sanlúcar de Barrameda);3 habs.;2 baños;Fabuloso piso. Situado en la zona de las piletas a tan solo 2 minutos andando de la orilla de la playa y a 15 minutos del centro d...;36.7781972;-6.365935;105 m²;1ª planta;cadiz
450 €/mes;;/alquilar/apartamento-centro_calzada-45049618608_101800/;Centro-Calzada (Sanlúcar de Barrameda);1 hab.;1 baño;Alquiler escolar. Luz y agua incluida en el precio. Se alquila precioso apartamento con terraza delantera de unos 10 metros, con m...;36.7860582;-6.3538688;35 m²;;cadiz
350 €/mes;;/alquilar/piso-puerto_real_centro_urbano-35083840886_100500/;Puerto Real;1 hab.;1 baño;"Este hermoso piso en alquiler temporada verano!!!
Julio por semana a 350€( la semana)
Agosto 400€ ( la semana)
Se encuentra ubicad...";36.5275154;-6.1825023;45 m²;2ª planta;cadiz
1.500 €/mes;;/alquilar/atico-jerez_de_la_frontera_centro11404-45855415954_100500/;Centro (Jerez de la Frontera);3 habs.;2 baños;Le presentamos un espectacular ático duplex en pleno centro, con vistas a la iglesia de la victoria, esquina calle ancha y calle l...;36.6889071;-6.1417346;105 m²;;cadiz
740 €/mes;Piso en calle de la Botica, 25;/alquilar/piso-el_populo_santa_maria11006-45895037580_109800/;El Pópulo-Santa María (Cádiz Capital);2 habs.;1 baño;Piso reformado de 70 m² con 65 m² de superficie útil localizado en la zona de  cádiz centro y situado en la 1ª planta. Está estruc...;36.52738;-6.2906322;70 m²;1ª planta;cadiz
