Region,Descripcion,Periodo_2023,Periodo_2024,Porcentaje_variacion
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,10.0,19.0
,    7.1.-Robos con fuerza en domicilios,8.0,5.0,-37.5
,    8. Hurtos,84.0,91.0,8.3
,    9. Sustracciones de vehÃ­culos,8.0,8.0,0.0
,    10. TrÃ¡fico de drogas,2.0,2.0,0.0
,    11. Resto de criminalidad convencional,160.0,176.0,10.0
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),59.0,59.0,0.0
,    12.-Estafas informÃ¡ticas,55.0,56.0,1.8
,    13.-Otros ciberdelitos,4.0,3.0,-25.0
,    III. TOTAL INFRACCIONES PENALES,332.0,374.0,12.7
Lebrija,    I. CRIMINALIDAD CONVENCIONAL,191.0,206.0,7.9
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,5.0,9.0,80.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,4.0,1.0,-75.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,4.0,1.0,-75.0
,    6. Robos con violencia e intimidacion,2.0,5.0,150.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,6.0,8.0
,    7.1.-Robos con fuerza en domicilios,4.0,1.0,-75.0
,    8. Hurtos,54.0,50.0,-7.4
,    9. Sustracciones de vehÃ­culos,1.0,0.0,-100.0
,    10. TrÃ¡fico de drogas,2.0,2.0,0.0
,    11. Resto de criminalidad convencional,117.0,131.0,12.0
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),66.0,72.0,9.1
,    12.-Estafas informÃ¡ticas,59.0,63.0,6.8
,    13.-Otros ciberdelitos,7.0,9.0,28.6
,    III. TOTAL INFRACCIONES PENALES,257.0,278.0,8.2
Mairena del Alcor,    I. CRIMINALIDAD CONVENCIONAL,152.0,134.0,-11.8
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1.0,6.0,500.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,2.0,1.0,-50.0
,    5.1.-Agresion sexual con penetracion,1.0,0.0,-100.0
,    5.2.-Resto de delitos contra la libertad sexual,1.0,1.0,0.0
,    6. Robos con violencia e intimidacion,1.0,4.0,300.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,35.0,26.0
,    7.1.-Robos con fuerza en domicilios,13.0,17.0,30.8
,    8. Hurtos,19.0,20.0,5.3
,    9. Sustracciones de vehÃ­culos,4.0,1.0,-75.0
,    10. TrÃ¡fico de drogas,4.0,0.0,-100.0
,    11. Resto de criminalidad convencional,86.0,76.0,-11.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),41.0,35.0,-14.6
,    12.-Estafas informÃ¡ticas,36.0,34.0,-5.6
,    13.-Otros ciberdelitos,5.0,1.0,-80.0
,    III. TOTAL INFRACCIONES PENALES,193.0,169.0,-12.4
Mairena del Aljarafe,    I. CRIMINALIDAD CONVENCIONAL,430.0,421.0,-2.1
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,7.0,11.0,57.1
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,3.0,3.0,0.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0
,    6. Robos con violencia e intimidacion,8.0,7.0,-12.5
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,39.0,54.0
,    7.1.-Robos con fuerza en domicilios,23.0,33.0,43.5
,    8. Hurtos,102.0,117.0,14.7
,    9. Sustracciones de vehÃ­culos,8.0,3.0,-62.5
,    10. TrÃ¡fico de drogas,1.0,1.0,0.0
,    11. Resto de criminalidad convencional,262.0,225.0,-14.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),125.0,144.0,15.2
,    12.-Estafas informÃ¡ticas,114.0,124.0,8.8
,    13.-Otros ciberdelitos,11.0,20.0,81.8
,    III. TOTAL INFRACCIONES PENALES,555.0,565.0,1.8
Morón de la Frontera,    I. CRIMINALIDAD CONVENCIONAL,130.0,223.0,71.5
,    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,4.0,1.0,-75.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,0.0,2.0,100.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,0.0,2.0,100.0
,    6. Robos con violencia e intimidacion,0.0,5.0,100.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,6.0,15.0
,    7.1.-Robos con fuerza en domicilios,5.0,9.0,80.0
,    8. Hurtos,35.0,42.0,20.0
,    9. Sustracciones de vehÃ­culos,1.0,2.0,100.0
,    10. TrÃ¡fico de drogas,3.0,6.0,100.0
,    11. Resto de criminalidad convencional,79.0,150.0,89.9
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),49.0,78.0,59.2
,    12.-Estafas informÃ¡ticas,47.0,74.0,57.4
,    13.-Otros ciberdelitos,2.0,4.0,100.0
,    III. TOTAL INFRACCIONES PENALES,179.0,301.0,68.2
Los Palacios y Villafranca,    I. CRIMINALIDAD CONVENCIONAL,255.0,240.0,-5.9
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,5.0,14.0,180.0
,    4. Secuestro,0.0,2.0,100.0
,    5. Delitos contra la libertad sexual,0.0,3.0,100.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,0.0,3.0,100.0
,    6. Robos con violencia e intimidacion,1.0,2.0,100.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,29.0,20.0
,    7.1.-Robos con fuerza en domicilios,19.0,8.0,-57.9
,    8. Hurtos,62.0,44.0,-29.0
,    9. Sustracciones de vehÃ­culos,0.0,1.0,100.0
,    10. TrÃ¡fico de drogas,5.0,0.0,-100.0
,    11. Resto de criminalidad convencional,153.0,154.0,0.7
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),80.0,98.0,22.5
,    12.-Estafas informÃ¡ticas,72.0,89.0,23.6
,    13.-Otros ciberdelitos,8.0,9.0,12.5
,    III. TOTAL INFRACCIONES PENALES,335.0,338.0,0.9
La Rinconada,    I. CRIMINALIDAD CONVENCIONAL,287.0,255.0,-11.1
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,11.0,11.0,0.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,4.0,1.0,-75.0
,    5.1.-Agresion sexual con penetracion,3.0,0.0,-100.0
,    5.2.-Resto de delitos contra la libertad sexual,1.0,1.0,0.0
,    6. Robos con violencia e intimidacion,6.0,12.0,100.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,20.0,13.0
,    7.1.-Robos con fuerza en domicilios,3.0,7.0,133.3
,    8. Hurtos,56.0,49.0,-12.5
,    9. Sustracciones de vehÃ­culos,10.0,5.0,-50.0
,    10. TrÃ¡fico de drogas,1.0,2.0,100.0
,    11. Resto de criminalidad convencional,179.0,162.0,-9.5
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),34.0,30.0,-11.8
,    12.-Estafas informÃ¡ticas,30.0,28.0,-6.7
,    13.-Otros ciberdelitos,4.0,2.0,-50.0
,    III. TOTAL INFRACCIONES PENALES,321.0,285.0,-11.2
San Juan de Aznalfarache,    I. CRIMINALIDAD CONVENCIONAL,294.0,442.0,50.3
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1.0,6.0,500.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,2.0,2.0,0.0
,    5.1.-Agresion sexual con penetracion,0.0,1.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0
,    6. Robos con violencia e intimidacion,4.0,8.0,100.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,7.0,20.0
,    7.1.-Robos con fuerza en domicilios,1.0,6.0,500.0
,    8. Hurtos,141.0,183.0,29.8
,    9. Sustracciones de vehÃ­culos,4.0,6.0,50.0
,    10. TrÃ¡fico de drogas,4.0,4.0,0.0
,    11. Resto de criminalidad convencional,131.0,213.0,62.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),63.0,61.0,-3.2
,    12.-Estafas informÃ¡ticas,58.0,50.0,-13.8
,    13.-Otros ciberdelitos,5.0,11.0,120.0
,    III. TOTAL INFRACCIONES PENALES,357.0,503.0,40.9
Sevilla,    I. CRIMINALIDAD CONVENCIONAL,11792.0,10652.0,-9.7
,    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,6.0,6.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,58.0,75.0,29.3
,    4. Secuestro,1.0,0.0,-100.0
,    5. Delitos contra la libertad sexual,117.0,72.0,-38.5
,    5.1.-Agresion sexual con penetracion,10.0,11.0,10.0
,    5.2.-Resto de delitos contra la libertad sexual,107.0,61.0,-43.0
,    6. Robos con violencia e intimidacion,520.0,473.0,-9.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,426.0,409.0
,    7.1.-Robos con fuerza en domicilios,178.0,238.0,33.7
,    8. Hurtos,4741.0,4032.0,-15.0
,    9. Sustracciones de vehÃ­culos,290.0,253.0,-12.8
,    10. TrÃ¡fico de drogas,82.0,58.0,-29.3
,    11. Resto de criminalidad convencional,5550.0,5272.0,-5.0
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2092.0,2441.0,16.7
,    12.-Estafas informÃ¡ticas,1904.0,2213.0,16.2
,    13.-Otros ciberdelitos,188.0,228.0,21.3
,    III. TOTAL INFRACCIONES PENALES,13884.0,13093.0,-5.7
Tomares,    I. CRIMINALIDAD CONVENCIONAL,107.0,136.0,27.1
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,0.0,0.0,0.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,2.0,0.0,-100.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,2.0,0.0,-100.0
,    6. Robos con violencia e intimidacion,1.0,5.0,400.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,17.0,14.0
,    7.1.-Robos con fuerza en domicilios,11.0,10.0,-9.1
,    8. Hurtos,33.0,37.0,12.1
,    9. Sustracciones de vehÃ­culos,1.0,1.0,0.0
,    10. TrÃ¡fico de drogas,0.0,0.0,0.0
,    11. Resto de criminalidad convencional,53.0,79.0,49.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),36.0,54.0,50.0
,    12.-Estafas informÃ¡ticas,31.0,38.0,22.6
,    13.-Otros ciberdelitos,5.0,16.0,220.0
,    III. TOTAL INFRACCIONES PENALES,143.0,190.0,32.9
Utrera,    I. CRIMINALIDAD CONVENCIONAL,444.0,407.0,-8.3
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,17.0,20.0,17.6
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,6.0,7.0,16.7
,    5.1.-Agresion sexual con penetracion,0.0,2.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,6.0,5.0,-16.7
,    6. Robos con violencia e intimidacion,11.0,5.0,-54.5
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,20.0,41.0
,    7.1.-Robos con fuerza en domicilios,16.0,30.0,87.5
,    8. Hurtos,127.0,112.0,-11.8
,    9. Sustracciones de vehÃ­culos,1.0,2.0,100.0
,    10. TrÃ¡fico de drogas,2.0,1.0,-50.0
,    11. Resto de criminalidad convencional,260.0,219.0,-15.8
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),150.0,158.0,5.3
,    12.-Estafas informÃ¡ticas,130.0,130.0,0.0
,    13.-Otros ciberdelitos,20.0,28.0,40.0
,    III. TOTAL INFRACCIONES PENALES,594.0,565.0,-4.9
Aragón,    I. CRIMINALIDAD CONVENCIONAL,9183.0,9789.0,6.6
,    1. Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,11.0,5.0,-54.5
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,128.0,162.0,26.6
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,94.0,89.0,-5.3
,    5.1.-Agresion sexual con penetracion,22.0,22.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,72.0,67.0,-6.9
,    6. Robos con violencia e intimidacion,237.0,268.0,13.1
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,766.0,769.0
,    7.1.-Robos con fuerza en domicilios,530.0,573.0,8.1
,    8. Hurtos,2607.0,2821.0,8.2
,    9. Sustracciones de vehÃ­culos,95.0,86.0,-9.5
,    10. TrÃ¡fico de drogas,108.0,87.0,-19.4
,    11. Resto de criminalidad convencional,5134.0,5499.0,7.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3004.0,3152.0,4.9
,    12.-Estafas informÃ¡ticas,2678.0,2845.0,6.2
,    13.-Otros ciberdelitos,326.0,307.0,-5.8
,    III. TOTAL INFRACCIONES PENALES,12187.0,12941.0,6.2
Provincia de Huesca,    I. CRIMINALIDAD CONVENCIONAL,1367.0,1432.0,4.8
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,15.0,29.0,93.3
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,29.0,9.0,-69.0
,    5.1.-Agresion sexual con penetracion,3.0,2.0,-33.3
,    5.2.-Resto de delitos contra la libertad sexual,26.0,7.0,-73.1
,    6. Robos con violencia e intimidacion,14.0,12.0,-14.3
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,134.0,124.0
,    7.1.-Robos con fuerza en domicilios,106.0,83.0,-21.7
,    8. Hurtos,315.0,311.0,-1.3
,    9. Sustracciones de vehÃ­culos,9.0,6.0,-33.3
,    10. TrÃ¡fico de drogas,12.0,12.0,0.0
,    11. Resto de criminalidad convencional,838.0,927.0,10.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),545.0,598.0,9.7
,    12.-Estafas informÃ¡ticas,480.0,530.0,10.4
,    13.-Otros ciberdelitos,65.0,68.0,4.6
,    III. TOTAL INFRACCIONES PENALES,1912.0,2030.0,6.2
Huesca,    I. CRIMINALIDAD CONVENCIONAL,288.0,334.0,16.0
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,6.0,7.0,16.7
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,4.0,3.0,-25.0
,    5.1.-Agresion sexual con penetracion,0.0,1.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,4.0,2.0,-50.0
,    6. Robos con violencia e intimidacion,4.0,7.0,75.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,11.0,26.0
,    7.1.-Robos con fuerza en domicilios,4.0,15.0,275.0
,    8. Hurtos,85.0,87.0,2.4
,    9. Sustracciones de vehÃ­culos,2.0,5.0,150.0
,    10. TrÃ¡fico de drogas,7.0,8.0,14.3
,    11. Resto de criminalidad convencional,169.0,191.0,13.0
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),105.0,146.0,39.0
,    12.-Estafas informÃ¡ticas,97.0,126.0,29.9
,    13.-Otros ciberdelitos,8.0,20.0,150.0
,    III. TOTAL INFRACCIONES PENALES,393.0,480.0,22.1
Provincia de Teruel,    I. CRIMINALIDAD CONVENCIONAL,596.0,599.0,0.5
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,16.0,14.0,-12.5
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,9.0,8.0,-11.1
,    5.1.-Agresion sexual con penetracion,2.0,1.0,-50.0
,    5.2.-Resto de delitos contra la libertad sexual,7.0,7.0,0.0
,    6. Robos con violencia e intimidacion,3.0,4.0,33.3
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,60.0,53.0
,    7.1.-Robos con fuerza en domicilios,39.0,36.0,-7.7
,    8. Hurtos,124.0,99.0,-20.2
,    9. Sustracciones de vehÃ­culos,4.0,5.0,25.0
,    10. TrÃ¡fico de drogas,5.0,6.0,20.0
,    11. Resto de criminalidad convencional,375.0,410.0,9.3
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),304.0,340.0,11.8
,    12.-Estafas informÃ¡ticas,280.0,304.0,8.6
,    13.-Otros ciberdelitos,24.0,36.0,50.0
,    III. TOTAL INFRACCIONES PENALES,900.0,939.0,4.3
Teruel,    I. CRIMINALIDAD CONVENCIONAL,140.0,161.0,15.0
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,8.0,5.0,-37.5
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,2.0,1.0,-50.0
,    5.1.-Agresion sexual con penetracion,1.0,0.0,-100.0
,    5.2.-Resto de delitos contra la libertad sexual,1.0,1.0,0.0
,    6. Robos con violencia e intimidacion,2.0,2.0,0.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,9.0,15.0
,    7.1.-Robos con fuerza en domicilios,7.0,9.0,28.6
,    8. Hurtos,33.0,30.0,-9.1
,    9. Sustracciones de vehÃ­culos,2.0,1.0,-50.0
,    10. TrÃ¡fico de drogas,1.0,2.0,100.0
,    11. Resto de criminalidad convencional,83.0,105.0,26.5
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),40.0,98.0,145.0
,    12.-Estafas informÃ¡ticas,36.0,91.0,152.8
,    13.-Otros ciberdelitos,4.0,7.0,75.0
,    III. TOTAL INFRACCIONES PENALES,180.0,259.0,43.9
Provincia de Zaragoza,    I. CRIMINALIDAD CONVENCIONAL,7220.0,7758.0,7.5
,    1. Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,10.0,3.0,-70.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,97.0,119.0,22.7
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,56.0,72.0,28.6
,    5.1.-Agresion sexual con penetracion,17.0,19.0,11.8
,    5.2.-Resto de delitos contra la libertad sexual,39.0,53.0,35.9
,    6. Robos con violencia e intimidacion,220.0,252.0,14.5
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,572.0,592.0
,    7.1.-Robos con fuerza en domicilios,385.0,454.0,17.9
,    8. Hurtos,2168.0,2411.0,11.2
,    9. Sustracciones de vehÃ­culos,82.0,75.0,-8.5
,    10. TrÃ¡fico de drogas,91.0,69.0,-24.2
,    11. Resto de criminalidad convencional,3921.0,4162.0,6.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2155.0,2214.0,2.7
,    12.-Estafas informÃ¡ticas,1918.0,2011.0,4.8
,    13.-Otros ciberdelitos,237.0,203.0,-14.3
,    III. TOTAL INFRACCIONES PENALES,9375.0,9972.0,6.4
Zaragoza,    I. CRIMINALIDAD CONVENCIONAL,5049.0,5686.0,12.6
,    1. Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,3.0,-40.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,69.0,83.0,20.3
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,36.0,52.0,44.4
,    5.1.-Agresion sexual con penetracion,14.0,17.0,21.4
,    5.2.-Resto de delitos contra la libertad sexual,22.0,35.0,59.1
,    6. Robos con violencia e intimidacion,209.0,237.0,13.4
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,300.0,381.0
,    7.1.-Robos con fuerza en domicilios,180.0,306.0,70.0
,    8. Hurtos,1822.0,2090.0,14.7
,    9. Sustracciones de vehÃ­culos,58.0,58.0,0.0
,    10. TrÃ¡fico de drogas,74.0,62.0,-16.2
,    11. Resto de criminalidad convencional,2474.0,2717.0,9.8
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1404.0,1387.0,-1.2
,    12.-Estafas informÃ¡ticas,1258.0,1279.0,1.7
,    13.-Otros ciberdelitos,146.0,108.0,-26.0
,    III. TOTAL INFRACCIONES PENALES,6453.0,7073.0,9.6
Asturias (Principado de),    I. CRIMINALIDAD CONVENCIONAL,5857.0,6031.0,3.0
,    1. Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,86.0,103.0,19.8
,    4. Secuestro,0.0,1.0,100.0
,    5. Delitos contra la libertad sexual,69.0,62.0,-10.1
,    5.1.-Agresion sexual con penetracion,17.0,14.0,-17.6
,    5.2.-Resto de delitos contra la libertad sexual,52.0,48.0,-7.7
,    6. Robos con violencia e intimidacion,79.0,79.0,0.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,384.0,351.0
,    7.1.-Robos con fuerza en domicilios,252.0,202.0,-19.8
,    8. Hurtos,1765.0,1895.0,7.4
,    9. Sustracciones de vehÃ­culos,68.0,54.0,-20.6
,    10. TrÃ¡fico de drogas,47.0,42.0,-10.6
,    11. Resto de criminalidad convencional,3355.0,3441.0,2.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2089.0,2332.0,11.6
,    12.-Estafas informÃ¡ticas,1901.0,2084.0,9.6
,    13.-Otros ciberdelitos,188.0,248.0,31.9
,    III. TOTAL INFRACCIONES PENALES,7946.0,8363.0,5.2
Avilés,    I. CRIMINALIDAD CONVENCIONAL,463.0,460.0,-0.6
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,7.0,7.0,0.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,3.0,6.0,100.0
,    5.1.-Agresion sexual con penetracion,0.0,2.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,3.0,4.0,33.3
,    6. Robos con violencia e intimidacion,9.0,6.0,-33.3
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,34.0,46.0
,    7.1.-Robos con fuerza en domicilios,19.0,18.0,-5.3
,    8. Hurtos,140.0,148.0,5.7
,    9. Sustracciones de vehÃ­culos,7.0,6.0,-14.3
,    10. TrÃ¡fico de drogas,5.0,4.0,-20.0
,    11. Resto de criminalidad convencional,258.0,237.0,-8.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),132.0,95.0,-28.0
,    12.-Estafas informÃ¡ticas,124.0,88.0,-29.0
,    13.-Otros ciberdelitos,8.0,7.0,-12.5
,    III. TOTAL INFRACCIONES PENALES,595.0,555.0,-6.7
Castrillón,    I. CRIMINALIDAD CONVENCIONAL,66.0,82.0,24.2
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1.0,1.0,0.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,0.0,0.0,0.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,0.0,0.0,0.0
,    6. Robos con violencia e intimidacion,0.0,1.0,100.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3.0,6.0
,    7.1.-Robos con fuerza en domicilios,3.0,4.0,33.3
,    8. Hurtos,20.0,17.0,-15.0
,    9. Sustracciones de vehÃ­culos,0.0,2.0,100.0
,    10. TrÃ¡fico de drogas,1.0,0.0,-100.0
,    11. Resto de criminalidad convencional,41.0,55.0,34.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),44.0,77.0,75.0
,    12.-Estafas informÃ¡ticas,39.0,67.0,71.8
,    13.-Otros ciberdelitos,5.0,10.0,100.0
,    III. TOTAL INFRACCIONES PENALES,110.0,159.0,44.5
Gijón,    I. CRIMINALIDAD CONVENCIONAL,1763.0,1786.0,1.3
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,29.0,33.0,13.8
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,21.0,18.0,-14.3
,    5.1.-Agresion sexual con penetracion,8.0,6.0,-25.0
,    5.2.-Resto de delitos contra la libertad sexual,13.0,12.0,-7.7
,    6. Robos con violencia e intimidacion,32.0,31.0,-3.1
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,107.0,76.0
,    7.1.-Robos con fuerza en domicilios,59.0,36.0,-39.0
,    8. Hurtos,649.0,712.0,9.7
,    9. Sustracciones de vehÃ­culos,20.0,17.0,-15.0
,    10. TrÃ¡fico de drogas,15.0,7.0,-53.3
,    11. Resto de criminalidad convencional,889.0,891.0,0.2
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),582.0,639.0,9.8
,    12.-Estafas informÃ¡ticas,543.0,599.0,10.3
,    13.-Otros ciberdelitos,39.0,40.0,2.6
