
Balance de criminalidad. 2024 - 1er Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
    9. Sustracciones de vehículos,19.0,16.0,-15.8,
    10. Tráfico de drogas,30.0,11.0,-63.3,
    11. Resto de criminalidad convencional,496.0,489.0,-1.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),197.0,240.0,21.8,
    12.-Estafas informáticas,171.0,202.0,18.1,
    13.-Otros ciberdelitos,26.0,38.0,46.2,
    III. TOTAL INFRACCIONES PENALES,1018.0,1045.0,2.7,
29054 Fuengirola,
    I. CRIMINALIDAD CONVENCIONAL,1101.0,1216.0,10.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,1.0,-50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,8.0,20.0,150.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,7.0,18.0,157.1,
    5.1.-Agresión sexual con penetración,2.0,3.0,50.0,
    5.2.-Resto de delitos contra la libertad sexual,5.0,15.0,200.0,
    6. Robos con violencia e intimidación,26.0,49.0,88.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,32.0,52.0,62.5,
    7.1.-Robos con fuerza en domicilios,18.0,26.0,44.4,
    8. Hurtos,457.0,479.0,4.8,
    9. Sustracciones de vehículos,22.0,35.0,59.1,
    10. Tráfico de drogas,14.0,13.0,-7.1,
    11. Resto de criminalidad convencional,533.0,549.0,3.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),160.0,165.0,3.1,
    12.-Estafas informáticas,141.0,150.0,6.4,
    13.-Otros ciberdelitos,19.0,15.0,-21.1,
    III. TOTAL INFRACCIONES PENALES,1261.0,1381.0,9.5,
29067 Málaga,
    I. CRIMINALIDAD CONVENCIONAL,6327.0,6761.0,6.9,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,4.0,6.0,50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,89.0,72.0,-19.1,
    4. Secuestro,2.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,65.0,64.0,-1.5,
    5.1.-Agresión sexual con penetración,16.0,8.0,-50.0,
    5.2.-Resto de delitos contra la libertad sexual,49.0,56.0,14.3,
    6. Robos con violencia e intimidación,172.0,192.0,11.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,256.0,287.0,12.1,
    7.1.-Robos con fuerza en domicilios,152.0,179.0,17.8,
    8. Hurtos,2558.0,2589.0,1.2,
    9. Sustracciones de vehículos,136.0,203.0,49.3,
    10. Tráfico de drogas,133.0,120.0,-9.8,
    11. Resto de criminalidad convencional,2911.0,3228.0,10.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1438.0,1811.0,25.9,
    12.-Estafas informáticas,1285.0,1559.0,21.3,
    13.-Otros ciberdelitos,153.0,252.0,64.7,
    III. TOTAL INFRACCIONES PENALES,7765.0,8572.0,10.4,
29069 Marbella,
    I. CRIMINALIDAD CONVENCIONAL,2738.0,2399.0,-12.4,
    1. Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,23.0,24.0,4.3,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,16.0,20.0,25.0,
    5.1.-Agresión sexual con penetración,9.0,6.0,-33.3,
    5.2.-Resto de delitos contra la libertad sexual,7.0,14.0,100.0,
    6. Robos con violencia e intimidación,55.0,50.0,-9.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,167.0,164.0,-1.8,
    7.1.-Robos con fuerza en domicilios,119.0,116.0,-2.5,
    8. Hurtos,812.0,630.0,-22.4,
    9. Sustracciones de vehículos,79.0,89.0,12.7,
    10. Tráfico de drogas,34.0,34.0,0.0,
    11. Resto de criminalidad convencional,1548.0,1388.0,-10.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),347.0,459.0,32.3,
    12.-Estafas informáticas,296.0,391.0,32.1,
    13.-Otros ciberdelitos,51.0,68.0,33.3,
    III. TOTAL INFRACCIONES PENALES,3085.0,2858.0,-7.4,
29070 Mijas,
    I. CRIMINALIDAD CONVENCIONAL,1074.0,1039.0,-3.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,13.0,6.0,-53.8,
    4. Secuestro,0.0,1.0,100.0,
    5. Delitos contra la libertad sexual,7.0,10.0,42.9,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,6.0,9.0,50.0,
    6. Robos con violencia e intimidación,20.0,19.0,-5.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,75.0,81.0,8.0,
    7.1.-Robos con fuerza en domicilios,63.0,68.0,7.9,
    8. Hurtos,259.0,256.0,-1.2,
    9. Sustracciones de vehículos,21.0,31.0,47.6,
    10. Tráfico de drogas,25.0,19.0,-24.0,
    11. Resto de criminalidad convencional,654.0,615.0,-6.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),278.0,357.0,28.4,
    12.-Estafas informáticas,257.0,337.0,31.1,
    13.-Otros ciberdelitos,21.0,20.0,-4.8,
    III. TOTAL INFRACCIONES PENALES,1352.0,1396.0,3.3,
29075 Nerja,
    I. CRIMINALIDAD CONVENCIONAL,184.0,233.0,26.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,10.0,8.0,-20.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,0.0,-100.0,
    6. Robos con violencia e intimidación,11.0,9.0,-18.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,17.0,40.0,135.3,
    7.1.-Robos con fuerza en domicilios,16.0,22.0,37.5,
    8. Hurtos,53.0,71.0,34.0,
    9. Sustracciones de vehículos,0.0,4.0,100.0,
    10. Tráfico de drogas,3.0,1.0,-66.7,
    11. Resto de criminalidad convencional,87.0,100.0,14.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),45.0,66.0,46.7,
    12.-Estafas informáticas,41.0,62.0,51.2,
    13.-Otros ciberdelitos,4.0,4.0,0.0,
    III. TOTAL INFRACCIONES PENALES,229.0,299.0,30.6,
29082 Rincón de la Victoria,
    I. CRIMINALIDAD CONVENCIONAL,323.0,286.0,-11.5,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,7.0,2.0,-71.4,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,3.0,1.0,-66.7,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,0.0,-100.0,
    6. Robos con violencia e intimidación,5.0,9.0,80.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,21.0,18.0,-14.3,
    7.1.-Robos con fuerza en domicilios,15.0,18.0,20.0,
    8. Hurtos,85.0,48.0,-43.5,
    9. Sustracciones de vehículos,7.0,6.0,-14.3,
    10. Tráfico de drogas,1.0,1.0,0.0,
    11. Resto de criminalidad convencional,193.0,201.0,4.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),128.0,138.0,7.8,
    12.-Estafas informáticas,110.0,129.0,17.3,
    13.-Otros ciberdelitos,18.0,9.0,-50.0,
    III. TOTAL INFRACCIONES PENALES,451.0,424.0,-6.0,
29084 Ronda,
    I. CRIMINALIDAD CONVENCIONAL,246.0,334.0,35.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,8.0,166.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,5.0,4.0,-20.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,30.0,31.0,3.3,
    7.1.-Robos con fuerza en domicilios,17.0,11.0,-35.3,
    8. Hurtos,72.0,119.0,65.3,
    9. Sustracciones de vehículos,4.0,3.0,-25.0,
    10. Tráfico de drogas,1.0,0.0,-100.0,
    11. Resto de criminalidad convencional,130.0,169.0,30.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),103.0,102.0,-1.0,
    12.-Estafas informáticas,80.0,86.0,7.5,
    13.-Otros ciberdelitos,23.0,16.0,-30.4,
    III. TOTAL INFRACCIONES PENALES,349.0,436.0,24.9,
29901 Torremolinos,
    I. CRIMINALIDAD CONVENCIONAL,883.0,944.0,6.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,8.0,14.0,75.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,11.0,10.0,-9.1,
    5.1.-Agresión sexual con penetración,2.0,3.0,50.0,
    5.2.-Resto de delitos contra la libertad sexual,9.0,7.0,-22.2,
    6. Robos con violencia e intimidación,18.0,17.0,-5.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,39.0,26.0,-33.3,
    7.1.-Robos con fuerza en domicilios,20.0,15.0,-25.0,
    8. Hurtos,290.0,271.0,-6.6,
    9. Sustracciones de vehículos,14.0,15.0,7.1,
    10. Tráfico de drogas,17.0,28.0,64.7,
    11. Resto de criminalidad convencional,484.0,560.0,15.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),201.0,251.0,24.9,
    12.-Estafas informáticas,183.0,222.0,21.3,
    13.-Otros ciberdelitos,18.0,29.0,61.1,
    III. TOTAL INFRACCIONES PENALES,1084.0,1195.0,10.2,
29091 Torrox,
    I. CRIMINALIDAD CONVENCIONAL,155.0,165.0,6.5,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,6.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,0.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,0.0,0.0,
    6. Robos con violencia e intimidación,0.0,3.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,17.0,26.0,52.9,
    7.1.-Robos con fuerza en domicilios,15.0,22.0,46.7,
    8. Hurtos,41.0,30.0,-26.8,
    9. Sustracciones de vehículos,0.0,1.0,100.0,
    10. Tráfico de drogas,1.0,0.0,-100.0,
    11. Resto de criminalidad convencional,93.0,99.0,6.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),27.0,58.0,114.8,
    12.-Estafas informáticas,25.0,58.0,132.0,
    13.-Otros ciberdelitos,2.0,0.0,-100.0,
    III. TOTAL INFRACCIONES PENALES,182.0,223.0,22.5,
29094 Vélez-Málaga,
    I. CRIMINALIDAD CONVENCIONAL,824.0,890.0,8.0,
    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,10.0,150.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,11.0,6.0,-45.5,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,9.0,4.0,-55.6,
    6. Robos con violencia e intimidación,20.0,13.0,-35.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,83.0,66.0,-20.5,
    7.1.-Robos con fuerza en domicilios,67.0,56.0,-16.4,
    8. Hurtos,189.0,253.0,33.9,
    9. Sustracciones de vehículos,19.0,32.0,68.4,
    10. Tráfico de drogas,3.0,9.0,200.0,
    11. Resto de criminalidad convencional,493.0,498.0,1.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),186.0,226.0,21.5,
    12.-Estafas informáticas,173.0,202.0,16.8,
    13.-Otros ciberdelitos,13.0,24.0,84.6,
    III. TOTAL INFRACCIONES PENALES,1010.0,1116.0,10.5,
Provincia de SEVILLA,
    I. CRIMINALIDAD CONVENCIONAL,21164.0,20495.0,-3.2,
    1. Homicidios dolosos y asesinatos consumados,5.0,2.0,-60.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,13.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,260.0,320.0,23.1,
    4. Secuestro,2.0,2.0,0.0,
    5. Delitos contra la libertad sexual,211.0,169.0,-19.9,
    5.1.-Agresión sexual con penetración,26.0,27.0,3.8,
    5.2.-Resto de delitos contra la libertad sexual,185.0,142.0,-23.2,
    6. Robos con violencia e intimidación,662.0,645.0,-2.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1113.0,1193.0,7.2,
    7.1.-Robos con fuerza en domicilios,599.0,705.0,17.7,
    8. Hurtos,6818.0,6069.0,-11.0,
    9. Sustracciones de vehículos,414.0,450.0,8.7,
    10. Tráfico de drogas,180.0,135.0,-25.0,
    11. Resto de criminalidad convencional,11486.0,11497.0,0.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4227.0,4921.0,16.4,
    12.-Estafas informáticas,3776.0,4380.0,16.0,
    13.-Otros ciberdelitos,451.0,541.0,20.0,
    III. TOTAL INFRACCIONES PENALES,25391.0,25416.0,0.1,
41004 Alcalá de Guadaíra,
    I. CRIMINALIDAD CONVENCIONAL,701.0,746.0,6.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,1.0,-50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,7.0,2.0,-71.4,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,10.0,5.0,-50.0,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,9.0,3.0,-66.7,
    6. Robos con violencia e intimidación,5.0,20.0,300.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,33.0,38.0,15.2,
    7.1.-Robos con fuerza en domicilios,18.0,25.0,38.9,
    8. Hurtos,203.0,178.0,-12.3,
    9. Sustracciones de vehículos,15.0,32.0,113.3,
    10. Tráfico de drogas,6.0,4.0,-33.3,
    11. Resto de criminalidad convencional,420.0,466.0,11.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),175.0,165.0,-5.7,
    12.-Estafas informáticas,154.0,144.0,-6.5,
    13.-Otros ciberdelitos,21.0,21.0,0.0,
    III. TOTAL INFRACCIONES PENALES,876.0,911.0,4.0,
41017 Bormujos,
    I. CRIMINALIDAD CONVENCIONAL,157.0,149.0,-5.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,0.0,1.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,3.0,0.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,3.0,50.0,
    6. Robos con violencia e intimidación,3.0,5.0,66.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,27.0,24.0,-11.1,
    7.1.-Robos con fuerza en domicilios,14.0,10.0,-28.6,
    8. Hurtos,34.0,30.0,-11.8,
    9. Sustracciones de vehículos,1.0,1.0,0.0,
    10. Tráfico de drogas,0.0,2.0,100.0,
    11. Resto de criminalidad convencional,89.0,83.0,-6.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),22.0,23.0,4.5,
    12.-Estafas informáticas,18.0,11.0,-38.9,
    13.-Otros ciberdelitos,4.0,12.0,200.0,
    III. TOTAL INFRACCIONES PENALES,179.0,172.0,-3.9,
41021 Camas,
    I. CRIMINALIDAD CONVENCIONAL,277.0,277.0,0.0,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,1.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,2.0,0.0,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,3.0,6.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,9.0,11.0,22.2,
    7.1.-Robos con fuerza en domicilios,4.0,3.0,-25.0,
    8. Hurtos,79.0,73.0,-7.6,
    9. Sustracciones de vehículos,12.0,13.0,8.3,
    10. Tráfico de drogas,1.0,0.0,-100.0,
    11. Resto de criminalidad convencional,170.0,170.0,0.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),90.0,82.0,-8.9,
    12.-Estafas informáticas,83.0,81.0,-2.4,
    13.-Otros ciberdelitos,7.0,1.0,-85.7,
    III. TOTAL INFRACCIONES PENALES,367.0,359.0,-2.2,
41024 Carmona,
    I. CRIMINALIDAD CONVENCIONAL,309.0,377.0,22.0,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,12.0,11.0,-8.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,7.0,600.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,5.0,400.0,
    6. Robos con violencia e intimidación,6.0,3.0,-50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,35.0,19.0,-45.7,
    7.1.-Robos con fuerza en domicilios,21.0,10.0,-52.4,
    8. Hurtos,37.0,67.0,81.1,
    9. Sustracciones de vehículos,2.0,5.0,150.0,
    10. Tráfico de drogas,1.0,3.0,200.0,
    11. Resto de criminalidad convencional,215.0,262.0,21.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),31.0,57.0,83.9,
    12.-Estafas informáticas,26.0,49.0,88.5,
    13.-Otros ciberdelitos,5.0,8.0,60.0,
    III. TOTAL INFRACCIONES PENALES,340.0,434.0,27.6,
41034 Coria del Río,
    I. CRIMINALIDAD CONVENCIONAL,312.0,324.0,3.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,2.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,2.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,7.0,8.0,14.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,8.0,27.0,237.5,
    7.1.-Robos con fuerza en domicilios,3.0,14.0,366.7,
    8. Hurtos,87.0,59.0,-32.2,
    9. Sustracciones de vehículos,14.0,9.0,-35.7,
    10. Tráfico de drogas,2.0,2.0,0.0,
    11. Resto de criminalidad convencional,190.0,215.0,13.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),74.0,74.0,0.0,
    12.-Estafas informáticas,62.0,70.0,12.9,
    13.-Otros ciberdelitos,12.0,4.0,-66.7,
    III. TOTAL INFRACCIONES PENALES,386.0,398.0,3.1,
41038 Dos Hermanas,
    I. CRIMINALIDAD CONVENCIONAL,1348.0,1324.0,-1.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,11.0,16.0,45.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,7.0,18.0,157.1,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,6.0,16.0,166.7,
    6. Robos con violencia e intimidación,22.0,19.0,-13.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,71.0,90.0,26.8,
    7.1.-Robos con fuerza en domicilios,46.0,58.0,26.1,
    8. Hurtos,374.0,298.0,-20.3,
    9. Sustracciones de vehículos,8.0,14.0,75.0,
    10. Tráfico de drogas,21.0,20.0,-4.8,
    11. Resto de criminalidad convencional,834.0,849.0,1.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),352.0,384.0,9.1,
    12.-Estafas informáticas,306.0,346.0,13.1,
    13.-Otros ciberdelitos,46.0,38.0,-17.4,
    III. TOTAL INFRACCIONES PENALES,1700.0,1708.0,0.5,
41039 Écija,
    I. CRIMINALIDAD CONVENCIONAL,273.0,315.0,15.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,4.0,300.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,8.0,300.0,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,7.0,600.0,
    6. Robos con violencia e intimidación,5.0,7.0,40.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,10.0,19.0,90.0,
    7.1.-Robos con fuerza en domicilios,8.0,5.0,-37.5,
    8. Hurtos,84.0,91.0,8.3,
    9. Sustracciones de vehículos,8.0,8.0,0.0,
    10. Tráfico de drogas,2.0,2.0,0.0,
    11. Resto de criminalidad convencional,160.0,176.0,10.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),59.0,59.0,0.0,
    12.-Estafas informáticas,55.0,56.0,1.8,
    13.-Otros ciberdelitos,4.0,3.0,-25.0,
    III. TOTAL INFRACCIONES PENALES,332.0,374.0,12.7,
41053 Lebrija,
    I. CRIMINALIDAD CONVENCIONAL,191.0,206.0,7.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,9.0,80.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,4.0,1.0,-75.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,4.0,1.0,-75.0,
    6. Robos con violencia e intimidación,2.0,5.0,150.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,6.0,8.0,33.3,
    7.1.-Robos con fuerza en domicilios,4.0,1.0,-75.0,
    8. Hurtos,54.0,50.0,-7.4,
    9. Sustracciones de vehículos,1.0,0.0,-100.0,
    10. Tráfico de drogas,2.0,2.0,0.0,
    11. Resto de criminalidad convencional,117.0,131.0,12.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),66.0,72.0,9.1,
    12.-Estafas informáticas,59.0,63.0,6.8,
    13.-Otros ciberdelitos,7.0,9.0,28.6,
    III. TOTAL INFRACCIONES PENALES,257.0,278.0,8.2,
41058 Mairena del Alcor,
    I. CRIMINALIDAD CONVENCIONAL,152.0,134.0,-11.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,6.0,500.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,1.0,-50.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,1.0,0.0,
    6. Robos con violencia e intimidación,1.0,4.0,300.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,35.0,26.0,-25.7,
    7.1.-Robos con fuerza en domicilios,13.0,17.0,30.8,
    8. Hurtos,19.0,20.0,5.3,
    9. Sustracciones de vehículos,4.0,1.0,-75.0,
    10. Tráfico de drogas,4.0,0.0,-100.0,
    11. Resto de criminalidad convencional,86.0,76.0,-11.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),41.0,35.0,-14.6,
    12.-Estafas informáticas,36.0,34.0,-5.6,
    13.-Otros ciberdelitos,5.0,1.0,-80.0,
    III. TOTAL INFRACCIONES PENALES,193.0,169.0,-12.4,
41059 Mairena del Aljarafe,
    I. CRIMINALIDAD CONVENCIONAL,430.0,421.0,-2.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,7.0,11.0,57.1,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,3.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0,
    6. Robos con violencia e intimidación,8.0,7.0,-12.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,39.0,54.0,38.5,
    7.1.-Robos con fuerza en domicilios,23.0,33.0,43.5,
    8. Hurtos,102.0,117.0,14.7,
    9. Sustracciones de vehículos,8.0,3.0,-62.5,
    10. Tráfico de drogas,1.0,1.0,0.0,
    11. Resto de criminalidad convencional,262.0,225.0,-14.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),125.0,144.0,15.2,
    12.-Estafas informáticas,114.0,124.0,8.8,
    13.-Otros ciberdelitos,11.0,20.0,81.8,
    III. TOTAL INFRACCIONES PENALES,555.0,565.0,1.8,
41065 Morón de la Frontera,
    I. CRIMINALIDAD CONVENCIONAL,130.0,223.0,71.5,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,1.0,-75.0,
    4. Secuestro,0.0,0.0,0.0,
