
Balance de criminalidad. 2024 - 1er Trimestre - CCAA
Indicadores de seguridad 2024 - 1erTrimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
    III. TOTAL INFRACCIONES PENALES,2577.0,2299.0,-10.8,
Notas:
NIPO 126-20-005-0                                              
                                               
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, Policías Autonómicas y Policías Locales que proporcionan datos  al Sistema Estadístico de Criminalidad. En agresiones sexuales con  penetración se computan agresiones sexuales con penetración y abusos  sexuales con penetración.         
                                                                       
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                               
                                        
 (***) Datos de 2024 pendientes de consolidar.
Fuente: Ministerio del Interior
