precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta
3.200 €/mes;Piso en calle Gran Vía;/alquilar/piso-universidad_malasana28004-35053241457_996542/;Universidad-Malasaña (Distrito Centro. Madrid Capital);82 m²;"Diplomatic real estate ofrece piso moderno con buen mobiliario a un paso de plaza de españa.
Salón comedor de 26 m² y recibidor.
2...";40.4224742;-3.7097727;2 habs.;2 baños;4ª planta
2.600 €/mes;Piso en Paseo de la Habana;/alquilar/piso-nueva_espana28036-35094984314_996542/;Nueva España (Distrito Chamartín. Madrid Capital);90 m²;"Diplomatic real estate ofrece piso moderno amueblado en paseo de la habana.
Hall de entrada que conduce a un salón de 30 m². , y c...";40.4477278;-3.6899246;2 habs.;2 baños;6ª planta
4.000 €/mes;Casa en calle de Juan de Jáuregui;/alquilar/casa-nino_jesus28007-38405034127_101800/;Niño Jesús (Distrito Retiro. Madrid Capital);250 m²;Engel & völkers les ofrece en alquiler por 11 meses, este luminoso y espacioso chalet independiente de cuatro plantas con terraza ...;40.4093152;-3.6728101;;;
7.000 €/mes;Chalet en Hortaleza;/alquilar/chalet-piovera28043-38406987633_109300/;Piovera (Distrito Hortaleza. Madrid Capital);482 m²;En la zona de arturo soria, al lado del conde orgaz, se alquila un impresionante chalet con 6 habitaciones y 6 baños. Con magnific...;40.4554985;-3.6484816;6 habs.;6 baños;
8.800 €/mes;Piso en Chamberi;/alquilar/piso-chamberi_almagro28010-38371115183_109300/;Almagro (Distrito Chamberí. Madrid Capital);366 m²;Piso de lujo reformado con magníficas calidades, dormitorio principal muy amplio con baño en suite y vestidor, con bañera. Segundo...;40.4379481;-3.6926315;5 habs.;5 baños;
2.700 €/mes;Piso en Moncloa;/alquilar/piso-moncloa_aravaca_arguelles28008-39213729730_101800/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);137 m²;Engel & völkers les ofrece este exclusivo piso totalmente reformado en una de las mejores zonas de madrid, en el barrio de argüell...;40.4298498;-3.7211665;;;
3.500 €/mes;Casa pareada en calle calle los Paraisos;/alquilar/casa_pareada-sol_barrio28013-39234209115_101800/;Sol (Distrito Centro. Madrid Capital);267 m²;Engel & völkers tiene el placer de ofrecerles en exclusiva este precioso chalet pareado de 267 m construidos y 391 m de parcela en...;40.4174162;-3.7038621;;;
5.000 €/mes;Piso en calle de Alcalá;/alquilar/piso-goya28009-37558732658_996542/;Goya (Distrito Salamanca. Madrid Capital);250 m²;Diplomatic real estate ofrede piso frente al parque de el retiro y próximo plaza de la independencia. Amplio salón con ventanales ...;40.422080341;-3.681928574;3 habs.;4 baños;2ª planta
6.950 €/mes;Chalet en Nueva España;/alquilar/chalet-nueva_espana28036-28378783296_108500/;Nueva España (Distrito Chamartín. Madrid Capital);396 m²;Bek properties, (description in english below) le ofrece este fantástico chalet pareado en una de las mejores zonas del distrito d...;40.465353;-3.6841494;7 habs.;7 baños;
2.500 €/mes;Piso en calle de Bolivia;/alquilar/piso-chamartin_hispanoamerica28016-30841669025_996542/;Hispanoamérica (Distrito Chamartín. Madrid Capital);85 m²;Diplomatic real estate ofrece magnífico piso con jardín, piscina, gimnasio, sauna, cuarto de bicis, 2 pistas de tenis, futbol, bal...;40.4580278;-3.6783336;2 habs.;2 baños;6ª planta
3.950 €/mes;Piso en calle Corredera Baja de San Pablo;/alquilar/piso-universidad_malasana28004-38419169264_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);153 m²;Engel & völkers presenta este piso de lujo en alquiler en un edificio histórico, situado en el corazón de madrid, en el distrito c...;40.4234115;-3.7025389;;;
3.100 €/mes;Apartamento en calle de García de Paredes;/alquilar/apartamento-chamberi_almagro28010-31749765096_996542/;Almagro (Distrito Chamberí. Madrid Capital);90 m²;"Diplomatic ofrece en alquiler para corta y larga temporda apartamento de lujo.
La renta se incrementa en un 10% e incluye 1 hora d...";40.4363906;-3.6905054;1 hab.;1 baño;4ª planta
3.800 €/mes;Piso en calle Corredera Baja de San Pablo;/alquilar/piso-universidad_malasana28004-38404876117_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);140 m²;Engel & völkers presenta este piso de lujo en alquiler en un edificio histórico, situado en el corazón de madrid, en el distrito c...;40.423123;-3.7030746;;;
4.500 €/mes;Ático en calle de Villanueva;/alquilar/atico-recoletos28001-38337310326_101800/;Recoletos (Distrito Salamanca. Madrid Capital);100 m²;Engel & völkers presenta en alquiler este acogedor piso con reforma de diseño a estrenar e impresionantes vistas disponible en nov...;40.422874968;-3.689993891;;;
2.700 €/mes;Piso en calle Corredera Baja de San Pablo;/alquilar/piso-universidad_malasana28004-38414458809_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);75 m²;Engel & völkers presenta este piso de lujo en alquiler en un edificio histórico, situado en el corazón de madrid, en el distrito c...;40.423045;-3.7031743;;;
1.950 €/mes;Piso en calle de José Abascal;/alquilar/piso-rios_rosas28003-37554571268_108900/;Ríos Rosas (Distrito Chamberí. Madrid Capital);115 m²;"&nbsp;

Inmobiliaria don chamber&iacute; presenta en exclusiva este piso completamente amueblado en inmejorable ubicaci&oacute;n.
...";40.43839;-3.69817;2 habs.;1 baño;
4.995 €/mes;Ático en Paseo del General Martínez Campos;/alquilar/atico-chamberi_almagro28010-39171774397_996542/;Almagro (Distrito Chamberí. Madrid Capital);180 m²;"Diplomatic real estate ofrece ático dúplex en almagro. 
Planta inferior, hall de entrada.4 dormitorios , el principal con baño en ...";40.434844;-3.6978782;4 habs.;4 baños;
2.700 €/mes;Piso en calle de Cabeza Lijar;/alquilar/piso-valdemarin-34193306283_996542/;Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital);225 m²;"Diplomatic real estate ofrece piso muy luminoso en valdemarín.
Salón comedor exterior de 45 m². , con chimenea y salida a terraza....";40.4690809;-3.7795679;5 habs.;4 baños;2ª planta
4.900 €/mes;Piso en Centro;/alquilar/piso-sol_barrio28014-38413233372_101800/;Sol (Distrito Centro. Madrid Capital);224 m²;Engel & völkers presenta este precioso apartamento en el madrid de los austrias, un piso elegante de 200 m² en un edificio del sig...;40.4165525;-3.7007931;;;
3.500 €/mes;Ático en calle de Agastia;/alquilar/atico-san_juan_bautista28027-35072148904_996542/;San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital);265 m²;"Diplomatic real estate ofrece magnífico àtico dúplex con terraza en finca de 8 plantas. Se alquila sin muebles.
Salón comedor de 7...";40.4458957;-3.6526093;5 habs.;3 baños;
1.850 €/mes;Ático en calle de Martín de los Heros;/alquilar/atico-moncloa_aravaca_arguelles28008-33401158879_996542/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);60 m²;"Diplomatic real estate ofrece ático en argüelles,
Salón comedor amplio con acceso a terraza y hall de entrada.
Dormitorio doble y ...";40.4255943;-3.7146776;1 hab.;1 baño;
5.500 €/mes;Ático en Centro;/alquilar/atico-universidad_malasana28004-39264304024_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);127 m²;Engel & völkers le presenta esta magnífica vivienda de las más altas calidades en gran vía. Edificio de obra nueva terminada en 20...;40.4210134;-3.7030122;;;
2.700 €/mes;Piso en calle de Varsovia;/alquilar/piso-moncloa_aravaca_aravaca28023-39222272116_101800/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);150 m²;Engel & völkers les presenta este magnífico piso bajo con jardín en plena avenida europa en urbanización cerrada con excelentes zo...;40.4446662;-3.7879384;;;
4.000 €/mes;Ático en Castellana;/alquilar/atico-salamanca_castellana28006-36759668105_149200/;Castellana (Distrito Salamanca. Madrid Capital);153 m²;En el distrito de salamanca en la zona de castellana, magnifico ático de 153 m², con alta calidades y estupendas vistas, en finca ...;40.4365504;-3.6794089;3 habs.;2 baños;
3.300 €/mes;Piso en calle del Príncipe de Vergara;/alquilar/piso-recoletos28001-36690522832_995410/;Recoletos (Distrito Salamanca. Madrid Capital);202 m²;"¡Bienvenidos a habitania!

Les presentamos una verdadera joya arquitectónica en pleno corazón de salamanca. Esta vivienda señorial...";40.4240512;-3.6804852;4 habs.;3 baños;6ª planta
11.000 €/mes;Piso en calle del Barquillo;/alquilar/piso-justicia_chueca28004-38386514502_101800/;Justicia-Chueca (Distrito Centro. Madrid Capital);315 m²;Engel & völkers presenta este piso de lujo en alquiler en un edificio singular del siglo xix totalmente rehabilitado, un icono de ...;40.4208653;-3.6955829;;;
1.250 €/mes;Piso en Arganzuela-Madrid Río;/alquilar/piso-puerta_del_angel-38394193972_101800/;Puerta del Ángel (Distrito Latina. Madrid Capital);78 m²;"Engel & völkers presenta para alquiler un piso exterior en primera planta con 3 dormitorios y 1 baño completo en el barrio
Puerta ...";40.4141895;-3.7260336;;;
2.700 €/mes;Piso en calle de Antonio Acuña;/alquilar/piso-goya28009-38404915017_100500/;Goya (Distrito Salamanca. Madrid Capital);98 m²;Piso nuevo reformado a estrenar situado en el distrito de salamanca - goya , en la planta 2. Es un piso, construido en el año 1974...;40.4223065;-3.6787284;3 habs.;2 baños;2ª planta
2.390 €/mes;Piso en calle de Benito Gutiérrez;/alquilar/piso-moncloa_aravaca_arguelles28008-37518520743_100500/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);155 m²;Precioso piso  sin amueblar, exterior con tres balcones y amplios ventanales, muy luminoso, el inmueble cuenta con  una superficie...;40.4312829;-3.7197764;4 habs.;2 baños;4ª planta
1.800 €/mes;Apartamento en Centro;/alquilar/apartamento-centro_palacio28005-38377318620_101800/;Palacio (Distrito Centro. Madrid Capital);88 m²;Engel & völkers presenta un moderno apartamento amueblado en una de las mejores zonas del centro, junto al mercado de la cebada. T...;40.4090843;-3.7103129;;;
3.650 €/mes;Piso en calle de Sagasta;/alquilar/piso-justicia_chueca28004-9250168946_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);138 m²;"Diza consultores les presenta este piso amueblado de 138 metros cuadrados en la calle sagasta.

Ubicado en un segundo piso, esta v...";40.4287409;-3.7000149;3 habs.;3 baños;2ª planta
2.600 €/mes;Piso en calle de Zurbarán;/alquilar/piso-chamberi_almagro28010-33364756771_996542/;Almagro (Distrito Chamberí. Madrid Capital);80 m²;"Diplomatic real estate ofrece piso moderno amueblado en el barrio de almagro con reforma del año 2021.
Salón con ventanal al exter...";40.4293034;-3.6945793;2 habs.;1 baño;2ª planta
2.800 €/mes;Piso en calle del Barco;/alquilar/piso-universidad_malasana28004-38345261888_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);84 m²;Engel & völkers presenta este piso de lujo en alquiler en un edificio histórico, situado en el corazón de madrid, en el distrito c...;40.4233723;-3.7021702;;;
1.450 €/mes;Piso en calle de Atocha;/alquilar/piso-cortes_huertas28012-38421427815_512125/;Cortes-Huertas (Distrito Centro. Madrid Capital);65 m²;Fabuloso apartamento en alquiler, muy luminoso, totalmente amueblado y equipado, en palacio del siglo xix rehabilitado de forma in...;40.4129605;-3.7005823;1 hab.;1 baño;2ª planta
1.900 €/mes;Apartamento en Centro;/alquilar/apartamento-centro_palacio28013-38340706680_101800/;Palacio (Distrito Centro. Madrid Capital);84 m²;Engel & völkers presenta este apartamento en alquiler situado en el corazón de madrid, en el distrito centro. Esta vivienda se ofr...;40.4180492;-3.7087291;;;
2.950 €/mes;Piso en calle del Cid;/alquilar/piso-recoletos28001-38394917465_101800/;Recoletos (Distrito Salamanca. Madrid Capital);54 m²;Engel & völkers presenta este ático de lujo en alquiler en un edificio histórico, situado en el corazón de madrid, en el distrito ...;40.4226561;-3.6896322;;;
8.000 €/mes;Piso en calle del Conde de Aranda;/alquilar/piso-recoletos28001-945856909415561_109700/;Recoletos (Distrito Salamanca. Madrid Capital);240 m²;Magnífico piso amueblado junto al retiro. Reforma integral a estrenar. Salón de 35 m² y comedor independiente. 3 dormitorio en sui...;40.4218797;-3.6872888;3 habs.;4 baños;3ª planta
3.350 €/mes;Piso en Salamanca/Castellana;/alquilar/piso-salamanca_castellana28006-945856909589225_109700/;Castellana (Distrito Salamanca. Madrid Capital);156 m²;Precioso ático con bonita terraza de 14 m²,  muy independiente en barrio salamanca. Garaje opcional a 150 euros. Ventanas climalit...;40.4365548;-3.6841368;3 habs.;2 baños;6ª planta
8.000 €/mes;Piso en Chamberi;/alquilar/piso-trafalgar28010-38406054757_101800/;Trafalgar (Distrito Chamberí. Madrid Capital);204 m²;Engel & völkers presenta este singular y  fantástico piso con una distribución muy funcional, espaciosa y práctica en un edificio ...;40.4284011;-3.69842;;;
2.600 €/mes;Apartamento en Centro;/alquilar/apartamento-centro_palacio28013-38339717269_101800/;Palacio (Distrito Centro. Madrid Capital);110 m²;Descubre un oasis en el corazón de madrid con este exclusivo ático. Disfruta de vistas panorámicas y una majestuosa terraza que re...;40.4159196;-3.7118736;;;
2.500 €/mes;Piso en Centro;/alquilar/piso-sol_barrio28013-39220329540_101800/;Sol (Distrito Centro. Madrid Capital);80 m²;Engel & völkers presenta este espectacular apartamento de dos dormitorios y dos baños en el corazón de la ciudad. El apartamento e...;40.419853738;-3.701761723;;;
3.000 €/mes;Piso en Retiro;/alquilar/piso-jeronimos28014-38420154355_101800/;Jerónimos (Distrito Retiro. Madrid Capital);120 m²;Engel & völkers presenta esta maravillosa propiedad en una de las mejores zonas de madrid, como lo es jerónimos, entre el parque e...;40.4148635;-3.6909628;;;
3.070 €/mes;Piso en calle de Atocha;/alquilar/piso-centro_embajadores_lavapies28012-38367986255_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);95 m²;Diza consultores tiene el placer de presentarles esta magnífica promoción de viviendas de obra nueva en pleno centro histórico de ...;40.4137617;-3.7026781;2 habs.;2 baños;5ª planta
1.800 €/mes;Piso en Fuente del Berro;/alquilar/piso-fuente_del_berro28028-37501392170_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);68 m²;"Fantastico piso amueblado de 2 dormitorios en fuente del berro.
Remax new life alquila fantástico y luminoso piso de 2 dormitorios...";40.4247649;-3.6678129;2 habs.;1 baño;1ª planta
8.500 €/mes;Piso en calle del Barquillo;/alquilar/piso-justicia_chueca28004-98408784959_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);290 m²;"Piso de lujo en justicia. Reforma de máxima calidad a estrenar.
 Mobilirio de diseño. 
Salón comedor de 55 m² con 5 balcones a la ...";40.4212843;-3.6957974;4 habs.;4 baños;1ª planta
1.900 €/mes;Piso en Retiro;/alquilar/piso-ibiza28009-38340269242_101800/;Ibiza (Distrito Retiro. Madrid Capital);88 m²;Engel and völkers presenta esta acogedora vivienda con vistas al parque del retiro. La casa es exterior y se ofrece amueblada y eq...;40.4206034;-3.679269;;;
8.500 €/mes;Ático en calle de Sagasta;/alquilar/atico-justicia_chueca28004-945856909480201_109700/;Justicia-Chueca (Distrito Centro. Madrid Capital);350 m²;Realmente unico! Ibercorp ofrece en exclusiva espectacular ático reformado por un prestigioso estudio de arquitectura, reforma a e...;40.427678;-3.6966561;4 habs.;5 baños;
2.890 €/mes;Piso en calle de Juan Ramón Jiménez;/alquilar/piso-castilla28036-33346354283_991150/;Castilla (Distrito Chamartín. Madrid Capital);150 m²;"Piso completamente reformado exterior en zona nueva españa.

El piso se distribuye en un hall de entrada con armarios empotrados, ...";40.4609108;-3.6868728;3 habs.;3 baños;8ª planta
2.800 €/mes;Piso en calle del Barco;/alquilar/piso-universidad_malasana28004-38336235290_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);77 m²;Engel & völkers presenta este piso de lujo en alquiler en un edificio histórico, situado en el corazón de madrid, en el distrito c...;40.4234431;-3.7023303;;;
4.100 €/mes;Piso en calle de García de Paredes;/alquilar/piso-trafalgar28015-35015683095_996542/;Trafalgar (Distrito Chamberí. Madrid Capital);179 m²;"Diplomatic real estate ofrece magnífico piso amueblado
 A la renta hay  que añadirle el 10% de iva.
Precio variable según estancia...";40.4365854;-3.6956978;2 habs.;2 baños;1ª planta
1.550 €/mes;Piso en Arganzuela-Madrid Río;/alquilar/piso-acacias28005-38371299627_101800/;Acacias (Distrito Arganzuela. Madrid Capital);108 m²;Engel & völkers le presenta una vivienda ubicada en la zona de acacias, madrid. Este luminoso piso, situado en la sexta planta, of...;40.4035087;-3.7069354;;;
900 €/mes;Piso en Centro;/alquilar/piso-centro_embajadores_lavapies28005-38412601743_106000/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);;"Emblema madrid alquila magnífico apartamento en el centro de madrid, en la calle bastero.
La vivienda consta de 50m² distribuido e...";40.4091621;-3.7096152;1 hab.;1 baño;
6.750 €/mes;Ático en calle de Génova;/alquilar/atico-chamberi_almagro28004-38384716743_101800/;Almagro (Distrito Chamberí. Madrid Capital);191 m²;"Engel & völkers presenta este ático en el centro de almagro. 
Situado en un edificio de imagen totalmente representativa de este b...";40.4267523;-3.6943574;;;
3.000 €/mes;Piso en Retiro;/alquilar/piso-nino_jesus28007-38409398962_101800/;Niño Jesús (Distrito Retiro. Madrid Capital);110 m²;Engel & völkers presenta, en una de las mejores fincas de retiro, esta magnífica vivienda  con reforma a estrenar y las mejores ca...;40.4097561;-3.6708904;;;
4.800 €/mes;Ático en Salamanca;/alquilar/atico-recoletos28001-39217706304_101800/;Recoletos (Distrito Salamanca. Madrid Capital);100 m²;"Engel & völkers tiene el placer de presentar este maravillo ático con terraza con vistas a la calle lagasca.
La vivienda dispone d...";40.422304917;-3.684528307;;;
3.600 €/mes;Piso en Conde de Orgaz-Hortaleza;/alquilar/piso-piovera28043-38411361332_101800/;Piovera (Distrito Hortaleza. Madrid Capital);153 m²;Engel & völkers se complace en presentar este espectacular piso de alquiler, ubicado en una de las mejores urbanizaciones de la ex...;40.4549086;-3.6236281;;;
3.850 €/mes;Casa en calle de Cambados;/alquilar/casa-valdebebas_valdefuentes28055-38429377319_101800/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);342 m²;Engel & voelkers  gestiona este espectacular chalet de 342m² construidos -290 m² útiles- en una zona residencial y muy tranquila e...;40.4785265;-3.6290981;;;
5.500 €/mes;Piso en Plaza de las Salesas;/alquilar/piso-justicia_chueca28004-37550753650_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);229 m²;Diza consultores te presenta esta increíble vivienda en la mejor ubicación de justicia, un barrio emblemático en el corazón de mad...;40.4245636;-3.6947979;3 habs.;3 baños;2ª planta
3.200 €/mes;Piso en calle del General Pardiñas;/alquilar/piso-lista_barrio28006-39201760508_100500/;Lista (Distrito Salamanca. Madrid Capital);200 m²;"Piso, madrid (salamanca)

Disponible apartir de enero 2024
Luminoso apartamento en la calle general pardiñas, a 10 minutos andando...";40.4334101;-3.677804;5 habs.;3 baños;8ª planta
2.900 €/mes;Piso en El Viso;/alquilar/piso-chamartin_el_viso28002-39205715912_102200/;El Viso (Distrito Chamartín. Madrid Capital);180 m²;La vivienda cuenta con 4 dormitorios todos con armarios empotrados (2 de ellos tipo suite), 3 baños, cocina-office totalmente equi...;40.4428349;-3.6804836;4 habs.;3 baños;1ª planta
3.900 €/mes;Piso en Salamanca;/alquilar/piso-goya28009-38361229306_101800/;Goya (Distrito Salamanca. Madrid Capital);115 m²;"Engel & völkers les presenta este piso amueblado  con mucho gusto y materiales de calidad.
Está situado en una de las mejores zona...";40.4245988;-3.6765857;;;
4.250 €/mes;Piso en calle de Sagasta;/alquilar/piso-justicia_chueca28004-33343337686_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);138 m²;"Diplomatic real estate ofrece piso amueblado.
A la renta hay que sumar un 10%  iva.
Dispone de salón de 24 m²., y cocina integrada...";40.4287409;-3.7000149;3 habs.;3 baños;4ª planta
1.575 €/mes;Piso en Arganzuela-Madrid Río;/alquilar/piso-puerta_del_angel-39206681044_101800/;Puerta del Ángel (Distrito Latina. Madrid Capital);67 m²;Engel & völkers presenta para alquiler un piso exterior en primera planta con 2 dormitorios (1 doble, el otro individual) y 1 baño...;40.4134569;-3.7269273;;;
1.800 €/mes;Piso en calle de Darío Aparicio;/alquilar/piso-valdemarin-39254032141_101800/;Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital);90 m²;Engel & völkers presenta en alquiler este acogedor piso de dos habitaciones en una de las urbanizaciones con los jardines más boni...;40.4676172;-3.7671085;;;
2.700 €/mes;Piso en calle del Fúcar;/alquilar/piso-cortes_huertas28012-37548582794_996542/;Cortes-Huertas (Distrito Centro. Madrid Capital);162 m²;"Diplomatic real estate ofrece piso en huertas, muy bien situado a pocos metros del museo reina sofía, prado y jardín botánico.
Gra...";40.411399;-3.6956944;3 habs.;3 baños;2ª planta
1.440 €/mes;Ático en Arganzuela-Madrid Río;/alquilar/atico-atocha28045-38336365066_101800/;Atocha (Distrito Arganzuela. Madrid Capital);69 m²;"¡¡¡ Sin honorarios de agencia !!!.

Engel & völkers presenta este espectacular ático de 1 habitación y terraza de obra nueva en mé...";40.3972995;-3.6818288;;;
6.000 €/mes;Chalet unifamiliar en Avenida de Fuentelarreina;/alquilar/chalet_unifamiliar-fuentelarreina28035-24233346948_996542/;Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital);582 m²;"Diplomatic real estate ofrece magnífico chalet a estrenar 400 m² escriturados con ascensor y parcela de 478 m².
 Distribuido en 2 ...";40.471994;-3.7498345;6 habs.;7 baños;
1.350 €/mes;Piso en Arganzuela-Madrid Río;/alquilar/piso-arganzuela_delicias-39228532252_101800/;Delicias (Distrito Arganzuela. Madrid Capital);50 m²;Engel&voelkers presenta duplex a estrenar! En planta baja el salón-comedor-cocina y en la primera planta el dormitorio y el cuarto...;40.3950963;-3.684501;;;
4.900 €/mes;Ático en calle de Villanueva;/alquilar/atico-recoletos28001-37518684991_101800/;Recoletos (Distrito Salamanca. Madrid Capital);100 m²;Engel & völkers presenta en alquiler este acogedor piso con reforma de diseño a estrenar e impresionantes vistas disponible inmedi...;40.422874968;-3.689993891;;;
12.500 €/mes;Piso en Salamanca;/alquilar/piso-salamanca_castellana28006-38356612122_101800/;Castellana (Distrito Salamanca. Madrid Capital);352 m²;Engel & völkers presenta esta espectacular vivienda de obra nueva situada en una ubicación privilegiada, en el mejor tramo de la c...;40.4367439;-3.6861572;;;
12.000 €/mes;Piso en Avenida de Menéndez Pelayo;/alquilar/piso-nino_jesus28007-38395319290_100500/;Niño Jesús (Distrito Retiro. Madrid Capital);350 m²;Diza consultores se enorgullece de presentar esta impresionante vivienda de esquina con vistas panorámicas al majestuoso parque de...;40.4100285;-3.6768326;4 habs.;4 baños;4ª planta
4.000 €/mes;Apartamento en Moncloa;/alquilar/apartamento-moncloa_aravaca_arguelles28008-38356737288_101800/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);135 m²;Engel & völkers presenta esta singular y moderna vivienda de lujo,  con espectaculares vistas infinitas de madrid, ubicado en un e...;40.42448772;-3.711952032;;;
2.800 €/mes;Apartamento en calle de Atocha;/alquilar/apartamento-centro_embajadores_lavapies28012-29239898687_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);100 m²;"Diza consultores les presenta esta fantástica promoción reformada en pleno centro histórico de madrid.

Se trata de una vivienda  ...";40.4141701;-3.7032089;2 habs.;2 baños;5ª planta
12.000 €/mes;Piso en calle de Ruiz de Alarcón;/alquilar/piso-jeronimos28014-27537100387_996542/;Jerónimos (Distrito Retiro. Madrid Capital);459 m²;"Diplomatic real estate ofrece espectacular piso todo exterior en jerónimos con mucha luz
 Techos altos, con 12 balcones a la calle...";40.4161988;-3.6913986;5 habs.;5 baños;3ª planta
3.200 €/mes;Piso en Retiro;/alquilar/piso-nino_jesus28009-38391161493_101800/;Niño Jesús (Distrito Retiro. Madrid Capital);183 m²;Engel & völkers les ofrece este luminoso y espacioso piso exterior en excelente estado de conservación. El pasillo de entrada da a...;40.4110025;-3.6703587;;;
6.500 €/mes;Chalet en calle del Maestro Chapí;/alquilar/chalet-chamartin_hispanoamerica28016-14170249914_996542/;Hispanoamérica (Distrito Chamartín. Madrid Capital);295 m²;"Diplomatic real estate ofrece chalet independiente con jardín de 259 m².
Reformado con buenas calidades.
Se alquila sin muebles pe...";40.4626225;-3.6734951;6 habs.;4 baños;
3.200 €/mes;Piso en calle de Atocha;/alquilar/piso-centro_embajadores_lavapies28012-38373687375_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);90 m²;"Diza consultores les presenta esta fantástica promoción  en pleno centro histórico de madrid.

Se trata de una vivienda  de 2 dorm...";40.4139675;-3.7026475;2 habs.;2 baños;5ª planta
1.800 €/mes;Apartamento en Centro;/alquilar/apartamento-universidad_malasana28015-37552286799_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);64 m²;Engel & völkers le ofrece en exclusiva este estupendo piso a un paso de plaza españa. Se ubica en la primera planta de la finca qu...;40.4233562;-3.7104438;;;
1.800 €/mes;Dúplex en Centro;/alquilar/duplex-universidad_malasana28004-38361551588_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);89 m²;"Engel & völkers le presenta este espacioso piso-dúplex de un diseño moderno y atractivo, ubicado en el barrio de malasaña.
En sus ...";40.4256397;-3.7071326;;;
3.200 €/mes;Piso en Lista;/alquilar/piso-lista_barrio28001-945856909199973_109700/;Lista (Distrito Salamanca. Madrid Capital);105 m²;Piso moderno, impecable con 1 plaza de garaje en el propio edificio. Jardín comunitario con padel y gimnasio. Salón de 26 m² con g...;40.4259289;-3.6777457;2 habs.;2 baños;6ª planta
3.000 €/mes;Piso en Centro;/alquilar/piso-universidad_malasana28013-38414804560_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);128 m²;Engel & völkers ofrece este exclusivo piso en pleno centro de la ciudad. Situado en uno de los 20 edificios más emblemáticos de ma...;40.4231616;-3.7101336;;;
5.000 €/mes;Piso en calle de Ruiz de Alarcón;/alquilar/piso-jeronimos28014-21724587027_996542/;Jerónimos (Distrito Retiro. Madrid Capital);180 m²;"Diplomatic real estate ofrece magnífico ático de lujo a estrenar en edificio representativo del año 1925. 
Salón comedor de 60 m²....";40.415777537004026;-3.691626660089174;3 habs.;3 baños;6ª planta
3.000 €/mes;Piso en calle Raimundo Fernández Villaverde;/alquilar/piso-rios_rosas28003-34219349948_996542/;Ríos Rosas (Distrito Chamberí. Madrid Capital);120 m²;"Diplomatic real estate ofrece piso con reforma a estrenar todo exterior con acabados de lujo. Domótica y wifi.
 Trastero.
 Salón d...";40.4469578;-3.7013865;2 habs.;3 baños;3ª planta
4.500 €/mes;Piso en Chamartin;/alquilar/piso-chamartin_hispanoamerica28016-38341262214_101800/;Hispanoamérica (Distrito Chamartín. Madrid Capital);270 m²;Engel & völkers presenta este espectacular piso en alquiler vacío en una de las mejores zonas del barrio de hispanoamérica junto a...;40.4528359;-3.684779;;;
7.000 €/mes;Ático en calle de Fomento;/alquilar/atico-centro_palacio28013-39238491097_996542/;Palacio (Distrito Centro. Madrid Capital);180 m²;Diplomatic real estate alquila fantástico ático reformado, en el que se han utilizado materiales de excelente calidad, cuidando to...;40.4213099;-3.7104551;3 habs.;3 baños;
2.500 €/mes;Ático en Centro;/alquilar/atico-cortes_huertas28014-39242123787_101800/;Cortes-Huertas (Distrito Centro. Madrid Capital);67 m²;Engel & völkers presenta en alquiler de corta estancia este espectacular ático de dos dormitorios en el corazón de madrid con una ...;40.4101253;-3.6940999;;;
12.500 €/mes;Piso en calle Sevilla;/alquilar/piso-sol_barrio28013-26715176601_996542/;Sol (Distrito Centro. Madrid Capital);220 m²;Diplomatic real estate ofrece piso amueblado en residencial hotel four season en sol,  con acceso gratuito a todas las ameniddes d...;40.4174018;-3.6997167;2 habs.;2 baños;6ª planta
