precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta
3.400.000 €;Chalet en calle Horche, 3;/comprar/chalet-moncloa_aravaca_aravaca28023-4104577135_109700/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);834 m²;Villa 3c. Chalet de obra nueva de 834 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 5 ha...;40.4594593;-3.7656639;5 habs.;7 baños;
A consultar;Apartamento en calle de Esteban Palacios, 7;/comprar/apartamento-piovera28043-45025688482_109800/;Piovera (Distrito Hortaleza. Madrid Capital);125 m²;Piso 2 dormitorios, 2 baños, 1 garajes, estado de origen, en madrid, madrid conycor ofrece esta atractiva vivienda, ubicada en una...;40.458775;-3.6234536;2 habs.;2 baños;Principal
287.560 €;Piso en calle de Camarena, 275;/comprar/piso-latina_aluche28047-4473623915_109700/;Aluche (Distrito Latina. Madrid Capital);70 m²;Piso en un inmueble de obra nueva de 70 m² de superficie construida y situado en la zona de madrid capital. Está estructurado en 2...;40.3855989;-3.757207;2 habs.;2 baños;
337.900 €;Piso en calle Arte Figurativo Con Avenida Gran Vía del Sureste,  S/N;/comprar/piso-ensanche_de_vallecas_valdecarros28051-4363997783_109700/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);102 m²;Piso en un edificio de obra nueva de 102 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 2...;40.3482;-3.61515;2 habs.;2 baños;
260.000 €;Piso en calle de Rufino González, 59;/comprar/piso-san_blas_simancas28037-4570959880_109700/;Simancas (Distrito San Blas. Madrid Capital);62 m²;3º g. Vt4. Piso en un edificio de obra nueva de 63 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.4341242;-3.6245248;1 hab.;1 baño;3ª planta
490.000 €;Piso en calle del Marqués de Ahumada, 5;/comprar/piso-guindalera28028-4564947218_109700/;Guindalera (Distrito Salamanca. Madrid Capital);48 m²;2º c. Piso en un inmueble de obra nueva de 48 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4364267;-3.6692407;1 hab.;1 baño;2ª planta
980.000 €;Ático en calle de Caleruega, 79;/comprar/atico-costillares-1772946757_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);123 m²;Ático b. Ático en una finca de obra nueva de 123 m² de superficie construida y emplazado en la zona de madrid capital, posicionado...;40.4833397;-3.6685473;2 habs.;2 baños;
766.000 €;Piso en calle de Caleruega, 79;/comprar/piso-costillares-2000940716_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);146 m²;5º g. Piso en una finca de obra nueva de 146 m² de superficie construida y emplazado en la zona de madrid capital, posicionado en ...;40.4833397;-3.6685473;3 habs.;2 baños;5ª planta
265.000 €;Piso en calle de Rufino González, 59;/comprar/piso-san_blas_simancas28037-4587935681_109700/;Simancas (Distrito San Blas. Madrid Capital);63 m²;1º i. Vt6. Piso en un edificio de obra nueva de 63 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.4341242;-3.6245248;1 hab.;1 baño;1ª planta
279.000 €;Piso en calle Maria Pita, 2;/comprar/piso-el_canaveral-4353931598_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);75 m²;8º d - vt1. Piso en un edificio de obra nueva de 75 m² de superficie construida y ubicado en la zona de madrid capital, enclavado ...;40.397624;-3.5549211;2 habs.;2 baños;8ª planta
285.000 €;Piso en calle Maria Pita, 2;/comprar/piso-el_canaveral-3909930217_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);75 m²;9º d - vt1. Piso en una finca de obra nueva de 75 m² de superficie construida y emplazado en la zona de madrid capital, posicionad...;40.397624;-3.5549211;2 habs.;2 baños;9ª planta
340.000 €;Piso en calle de la Infanta Mercedes, 91;/comprar/piso-castillejos28020-2815911728_109700/;Castillejos (Distrito Tetuán. Madrid Capital);34 m²;V09, 2º c. Piso en un edificio de obra nueva de 34 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.4624735;-3.6946876;1 hab.;1 baño;2ª planta
331.900 €;Piso en calle Arte Figurativo Con Avenida Gran Vía del Sureste,  S/N;/comprar/piso-ensanche_de_vallecas_valdecarros28051-4542895905_109700/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);102 m²;Piso en un inmueble de obra nueva de 102 m² de superficie construida y situado en la zona de madrid capital. Está estructurado en ...;40.3514;-3.61464;2 habs.;2 baños;
569.900 €;Ático en calle Arte Figurativo Con Avenida Gran Vía del Sureste,  S/N;/comprar/atico-ensanche_de_vallecas_valdecarros28051-3963889390_109700/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);115 m²;Ático en un edificio de obra nueva de 115 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en ...;40.3427;-3.60786;3 habs.;2 baños;
417.900 €;Piso en Avenida de la Aviación, 34;/comprar/piso-cuatro_vientos28054-4358876620_109700/;Cuatro Vientos (Distrito Latina. Madrid Capital);117 m²;Pa 1b. Piso en una finca de obra nueva de 117 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto...;40.3737303;-3.7700909;3 habs.;2 baños;
352.900 €;Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas,  S/N;/comprar/piso-el_canaveral-4559874145_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);82 m²;Piso en un edificio de obra nueva de 82 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 2 ...;40.411542;-3.5447233;2 habs.;2 baños;
523.000 €;Piso en calle Joaquín Lorenzo,  s/n;/comprar/piso-penagrande28035-4343862413_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);98 m²;Portal 2, bajo c. Piso en un edificio de obra nueva de 98 m² de superficie construida y ubicado en la zona de madrid, enclavado en...;40.4734332;-3.7241664;2 habs.;2 baños;Bajo
419.900 €;Ático en Avenida de la Aviación, 34;/comprar/atico-cuatro_vientos28054-3064848220_109700/;Cuatro Vientos (Distrito Latina. Madrid Capital);88 m²;Pa ático b. Ático en un inmueble de obra nueva de 88 m² de superficie construida y situado en la zona de madrid capital. Está estr...;40.3737303;-3.7700909;2 habs.;2 baños;
275.500 €;Piso en calle de Villaescusa, 62;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-4183784442_109700/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);72 m²;Bajo a. T12. Piso en una finca de obra nueva de 72 m² de superficie construida y emplazado en la zona de madrid capital, posiciona...;40.4196514;-3.6288947;1 hab.;1 baño;Bajo
574.900 €;Ático en calle Vereda de La Cebolla Con calle Ferenc Puskas,  S/N;/comprar/atico-el_canaveral-4527778692_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);194 m²;Ático en un inmueble de obra nueva de 194 m² de superficie construida y situado en la zona de madrid capital. Está estructurado en...;40.4033;-3.55903;4 habs.;2 baños;
970.000 €;Piso en calle del Marqués de Ahumada, 5;/comprar/piso-guindalera28028-4092775078_109700/;Guindalera (Distrito Salamanca. Madrid Capital);108 m²;3º f. Piso en un inmueble de obra nueva de 108 m² de superficie construida y situado en la zona de madrid capital, acomodado en pl...;40.4364267;-3.6692407;3 habs.;2 baños;3ª planta
1.804.000 €;Dúplex en calle de Eloísa de la Hera, 15;/comprar/duplex-ciudad_universitaria28035-4467767492_109700/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);271 m²;17a. Bajo dúplex en un inmueble de obra nueva y situado en la zona de madrid capital. Está estructurado en 5 habitaciones, 2 baños...;40.4639835;-3.7258454;5 habs.;2 baños;
998.900 €;Casa adosada en calle de Julián Camarillo, 56;/comprar/casa_adosada-san_blas_simancas28037-4188762027_109700/;Simancas (Distrito San Blas. Madrid Capital);239 m²;Chalet 11. Casa adosada de obra nueva, de 239 m² de superficie construida, y situada en la zona de madrid capital.  Está estructur...;40.4377721;-3.6202102;4 habs.;3 baños;
275.000 €;Piso en calle del El Toboso, 105;/comprar/piso-carabanchel_san_isidro28019-3768760508_109700/;San Isidro (Distrito Carabanchel. Madrid Capital);73 m²;V08, 3º d. Piso en una finca de obra nueva de 73 m² de superficie construida y emplazado en la zona de madrid capital, posicionado...;40.3931731;-3.7350976;2 habs.;;3ª planta
676.050 €;Piso en calle de Jordi Sole tura,  s/n;/comprar/piso-valdebebas_valdefuentes28055-4005725365_109700/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);139 m²;Portal 4, 7º b, vt b1. Piso en un edificio de obra nueva de 139 m² de superficie construida y ubicado en la zona de madrid capital...;40.4939059;-3.6079797;3 habs.;2 baños;7ª planta
265.000 €;Piso en calle de San Sinforiano, 4;/comprar/piso-casco_historico_de_barajas-4378119232_109700/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);63 m²;1º F. Piso en un inmueble de obra nueva de 63 m2 de superficie construida y situado en la zona de Madrid Capital, acomodado en planta 1. Está estructurado en 1 baño completo. Aporta como extras garaje 6 y trastero 6.;40,4731113;-3,5806503;;1 baño;1ª planta
368.000 €;Piso en calle Berrocales Ix,  461;/comprar/piso-los_berrocales28031-4510709962_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);99 m²;P2-1ºb. Piso en un edificio de obra nueva de 99 m² de superficie construida y ubicado en la zona de madrid capital. Está distribui...;40.393904724;-3.58149909;3 habs.;2 baños;
1.097.900 €;Casa adosada en calle de Julián Camarillo, 56;/comprar/casa_adosada-san_blas_simancas28037-3087706655_109700/;Simancas (Distrito San Blas. Madrid Capital);203 m²;Chalet 36. Casa adosada de obra nueva, de 203 m² de superficie construida, y situada en la zona de madrid capital.  Está estructur...;40.4377721;-3.6202102;4 habs.;3 baños;
1.050.000 €;Piso en Trafalgar;/comprar/piso-trafalgar28010-45052705107_100200/;Trafalgar (Distrito Chamberí. Madrid Capital);145 m²;"Agencia inmobiliaria de madrid - chamberí - arapiles, trafalgar, almagro, ríos rosas - tecnocasa - vende - calle viriato

Piso dom...";40.4357451;-3.7001066;3 habs.;;3ª planta
357.500 €;Ático en calle de San Sinforiano, 4;/comprar/atico-casco_historico_de_barajas-4388703655_109700/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);70 m²;Ático c. Piso en un inmueble de obra nueva de 70 m² de superficie construida y situado en la zona de madrid capital, acomodado en ...;40.4731113;-3.5806503;2 habs.;2 baños;
253.000 €;Piso en calle de San Sinforiano, 4;/comprar/piso-casco_historico_de_barajas-4368696278_109700/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);49 m²;1º c. Piso en un inmueble de obra nueva de 49 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4731113;-3.5806503;1 hab.;1 baño;1ª planta
387.000 €;Piso en calle Ilusion, 22;/comprar/piso-el_canaveral-4067692613_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);114 m²;P.2 5ºb v16. Piso en una finca de obra nueva de 114 m² de superficie construida y emplazado en la zona de madrid capital, posicion...;40.404742073;-3.555921144;3 habs.;2 baños;5ª planta
695.000 €;Piso en calle Joaquín Lorenzo,  s/n;/comprar/piso-penagrande28035-4399639312_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);115 m²;Portal 1, 5º b. Piso en un edificio de obra nueva de 115 m² de superficie construida y ubicado en la zona de madrid, enclavado en ...;40.474694633;-3.729883501;3 habs.;2 baños;5ª planta
349.900 €;Piso en calle Arte Figurativo Con Avenida Gran Vía del Sureste,  S/N;/comprar/piso-ensanche_de_vallecas_valdecarros28051-4557610362_109700/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);102 m²;Piso en un inmueble de obra nueva de 102 m² de superficie construida y situado en la zona de madrid capital. Está estructurado en ...;40.3427;-3.6055;2 habs.;2 baños;
346.900 €;Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas,  S/N;/comprar/piso-el_canaveral-4549573062_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);86 m²;Piso en una finca de obra nueva de 86 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 2 ha...;40.411542;-3.5447233;2 habs.;2 baños;
359.500 €;Ático en calle de San Sinforiano, 4;/comprar/atico-casco_historico_de_barajas-4399566401_109700/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);70 m²;Ático d. Piso en un inmueble de obra nueva de 70 m² de superficie construida y situado en la zona de madrid capital, acomodado en ...;40.4731113;-3.5806503;2 habs.;2 baños;
1.672.000 €;Ático en calle de Eloísa de la Hera, 15;/comprar/atico-ciudad_universitaria28035-4513563055_109700/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);244 m²;15f. Ático dúplex en una finca de obra nueva y emplazado en la zona de madrid capital. Está dispuesto en 4 habitaciones, 2 baños c...;40.4639835;-3.7258454;4 habs.;2 baños;
A consultar;Piso en calle de Aquitania,  s/n;/comprar/piso-arcos28032-2995548301_109700/;Arcos (Distrito San Blas. Madrid Capital);69 m²;Piso en una finca de obra nueva de 69 m² de superficie construida y emplazado en la zona de madrid capital, posicionado en planta ...;40.4197391;-3.6159599;1 hab.;1 baño;5ª planta
329.500 €;Piso en calle  *;/comprar/piso-los_berrocales28031-4425541774_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);85 m²;Piso en una finca de obra nueva de 85 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 2 ha...;40.393904724;-3.58149909;2 habs.;2 baños;
583.900 €;Ático en Avenida de la Aviación, 34;/comprar/atico-cuatro_vientos28054-3074538010_109700/;Cuatro Vientos (Distrito Latina. Madrid Capital);100 m²;Pa ático c. Ático en un inmueble de obra nueva de 100 m² de superficie construida y situado en la zona de madrid capital. Está est...;40.3737303;-3.7700909;3 habs.;2 baños;
349.700 €;Piso en calle  *;/comprar/piso-los_berrocales28031-4396532976_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);105 m²;Piso en una finca de obra nueva de 105 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 2 h...;40.3967309;-3.5844075;2 habs.;2 baños;
264.000 €;Piso en calle de Rufino González, 59;/comprar/piso-san_blas_simancas28037-4592530827_109700/;Simancas (Distrito San Blas. Madrid Capital);65 m²;2º b. Vt2. Piso en un edificio de obra nueva de 65 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.4341242;-3.6245248;1 hab.;1 baño;2ª planta
265.000 €;Piso en calle de Rufino González, 59;/comprar/piso-san_blas_simancas28037-4147526844_109700/;Simancas (Distrito San Blas. Madrid Capital);62 m²;4º g. Vt4. Piso en un edificio de obra nueva de 63 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.4341242;-3.6245248;1 hab.;1 baño;4ª planta
365.500 €;Piso en calle de Villaescusa, 62;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-4265525775_109700/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);92 m²;1º c. T3. Piso en una finca de obra nueva de 92 m² de superficie construida y emplazado en la zona de madrid capital, posicionado ...;40.4196514;-3.6288947;2 habs.;2 baños;1ª planta
429.900 €;Piso en Avenida de la Aviación, 34;/comprar/piso-cuatro_vientos28054-4177520591_109700/;Cuatro Vientos (Distrito Latina. Madrid Capital);110 m²;Pa 1e. Piso en una finca de obra nueva de 110 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto...;40.3737303;-3.7700909;3 habs.;2 baños;
352.900 €;Piso en calle  *;/comprar/piso-los_berrocales28031-4335511605_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);105 m²;Piso en una finca de obra nueva de 105 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 2 h...;40.393904724;-3.58149909;2 habs.;2 baños;
1.804.000 €;Dúplex en calle de Eloísa de la Hera, 15;/comprar/duplex-ciudad_universitaria28035-4428504709_109700/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);182 m²;15b. Bajo dúplex en un inmueble de obra nueva y situado en la zona de madrid capital. Está estructurado en 6 habitaciones, 2 baños...;40.4639835;-3.7258454;6 habs.;2 baños;
255.000 €;Piso en calle de San Sinforiano, 4;/comprar/piso-casco_historico_de_barajas-4390503984_109700/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);49 m²;2º c. Piso en un inmueble de obra nueva de 49 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4731113;-3.5806503;1 hab.;1 baño;2ª planta
1.097.900 €;Casa adosada en calle de Julián Camarillo, 56;/comprar/casa_adosada-san_blas_simancas28037-4246497040_109700/;Simancas (Distrito San Blas. Madrid Capital);239 m²;Chalet 35. Casa adosada de obra nueva, de 239 m² de superficie construida, y situada en la zona de madrid capital.  Está estructur...;40.4377721;-3.6202102;4 habs.;3 baños;
313.100 €;Piso en calle  *;/comprar/piso-los_berrocales28031-4355464537_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);85 m²;Piso en una finca de obra nueva de 85 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 2 ha...;40.3967309;-3.5844075;2 habs.;2 baños;
710.000 €;Piso en calle Joaquín Lorenzo,  s/n;/comprar/piso-penagrande28035-4368460803_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);129 m²;Portal 1, 7º a. Piso en un edificio de obra nueva de 129 m² de superficie construida y ubicado en la zona de madrid, enclavado en ...;40.4754231;-3.7337515;3 habs.;2 baños;7ª planta
1.078.900 €;Casa adosada en calle de Julián Camarillo, 56;/comprar/casa_adosada-san_blas_simancas28037-3996404427_109700/;Simancas (Distrito San Blas. Madrid Capital);239 m²;Chalet 4. Casa adosada de obra nueva, de 239 m² de superficie construida, y situada en la zona de madrid capital.  Está estructura...;40.4377721;-3.6202102;4 habs.;3 baños;
428.000 €;Piso en calle de la Infanta Mercedes, 91;/comprar/piso-castillejos28020-3505378365_109700/;Castillejos (Distrito Tetuán. Madrid Capital);58 m²;Bajo a. V07.1. Piso en un edificio de obra nueva de 58 m² de superficie útil y ubicado en la zona de madrid capital, enclavado en ...;40.4624735;-3.6946876;1 hab.;1 baño;Bajo
332.500 €;Piso en calle Ilusion, 22;/comprar/piso-el_canaveral-4015367078_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);98 m²;P.3 1ºa v07. Piso en un inmueble de obra nueva de 98 m² de superficie construida y situado en la zona de madrid capital, acomodado...;40.404742073;-3.555921144;2 habs.;2 baños;1ª planta
924.200 €;Piso en calle de Jordi Sole tura,  s/n;/comprar/piso-valdebebas_valdefuentes28055-2149364435_109700/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);182 m²;Portal 4, 2º a, vt r. Piso en un inmueble de obra nueva de 182 m² de superficie construida y situado en la zona de madrid capital,...;40.4930764;-3.6103037;4 habs.;2 baños;2ª planta
385.000 €;Piso en calle Ilusion, 22;/comprar/piso-el_canaveral-4060353833_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);114 m²;P.2 4ºd v20. Piso en una finca de obra nueva de 114 m² de superficie construida y emplazado en la zona de madrid capital, posicion...;40.404742073;-3.555921144;3 habs.;2 baños;4ª planta
737.000 €;Piso en calle Joaquín Lorenzo,  s/n;/comprar/piso-penagrande28035-4347586532_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);125 m²;Portal 1, 2º A. Piso en un edificio de obra nueva de 125 m2 de superficie construida y ubicado en la zona de Madrid, enclavado en planta 2. Está distribuido en 3 habitaciones y 2 baños completos. Incluye extras como ascensor.;40,47534;-3,7331707;3 habs.;2 baños;2ª planta
760.500 €;Ático en calle de Villaescusa, 62;/comprar/atico-ciudad_lineal_pueblo_nuevo28017-4204352833_109700/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);163 m²;Ático. T11. Ático en una finca de obra nueva de 163 m² de superficie construida y emplazado en la zona de madrid capital, posicion...;40.4196514;-3.6288947;2 habs.;1 baño;
1.023.450 €;Ático en calle de Jordi Sole tura,  s/n;/comprar/atico-valdebebas_valdefuentes28055-3792351901_109700/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);229 m²;Portal 3, 8º b, vt p. Ático dúplex en un inmueble de obra nueva de 229 m² de superficie construida y situado en la zona de madrid ...;40.4931865;-3.6091345;4 habs.;2 baños;
336.900 €;Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas,  S/N;/comprar/piso-el_canaveral-4556346348_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);80 m²;Piso en un edificio de obra nueva de 80 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 2 ...;40.4013;-3.55971;2 habs.;2 baños;
355.500 €;Piso en calle de Villaescusa, 62;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-4194342713_109700/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);84 m²;1º d. T4. Piso en una finca de obra nueva de 84 m² de superficie construida y emplazado en la zona de madrid capital, posicionado ...;40.4196514;-3.6288947;2 habs.;1 baño;1ª planta
395.000 €;Dúplex en calle del El Toboso, 105;/comprar/duplex-carabanchel_san_isidro28019-3819328078_109700/;San Isidro (Distrito Carabanchel. Madrid Capital);109 m²;V05, 3º a. Dúplex en un inmueble de obra nueva de 109 m² de superficie construida y situado en la zona de madrid capital, acomodad...;40.3931731;-3.7350976;2 habs.;;3ª planta
1.826.000 €;Dúplex en calle de Eloísa de la Hera, 15;/comprar/duplex-ciudad_universitaria28035-4459292280_109700/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);271 m²;15d. Bajo dúplex en un inmueble de obra nueva y situado en la zona de madrid capital. Está estructurado en 6 habitaciones, 2 baños...;40.4639835;-3.7258454;6 habs.;2 baños;
188.000 €;Piso en calle del El Toboso, 105;/comprar/piso-carabanchel_san_isidro28019-3825287830_109700/;San Isidro (Distrito Carabanchel. Madrid Capital);51 m²;V06, 3º b. Piso en un edificio de obra nueva de 51 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.3931731;-3.7350976;1 hab.;;3ª planta
1.023.450 €;Dúplex en calle de Jordi Sole tura,  s/n;/comprar/duplex-valdebebas_valdefuentes28055-4094286370_109700/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);229 m²;Portal 4, 8º a, vt p. Dúplex en un edificio de obra nueva de 229 m² de superficie construida y ubicado en la zona de madrid capita...;40.4930764;-3.6103037;4 habs.;2 baños;8ª planta
652.000 €;Piso en calle Joaquín Lorenzo,  s/n;/comprar/piso-penagrande28035-4404268153_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);114 m²;Portal 1, 1º c. Piso en un edificio de obra nueva de 114 m² de superficie construida y ubicado en la zona de madrid, enclavado en ...;40.4755956;-3.7363801;3 habs.;2 baños;1ª planta
158.000 €;Estudio en calle del El Toboso, 105;/comprar/estudio-carabanchel_san_isidro28019-3750261578_109700/;San Isidro (Distrito Carabanchel. Madrid Capital);41 m²;V07, 3º c. Estudio en un edificio de obra nueva de 41 m² de superficie construida y ubicado en la zona de madrid capital, enclavad...;40.3931731;-3.7350976;;;
324.000 €;Piso en calle de la Infanta Mercedes, 91;/comprar/piso-castillejos28020-2840238970_109700/;Castillejos (Distrito Tetuán. Madrid Capital);34 m²;V09, bajo d. Piso en un edificio de obra nueva de 34 m² de superficie construida y ubicado en la zona de madrid capital, enclavado...;40.4624735;-3.6946876;1 hab.;1 baño;Bajo
273.500 €;Piso en calle de Villaescusa, 62;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-4199215804_109700/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);72 m²;Bajo b. T13. Piso en una finca de obra nueva de 72 m² de superficie construida y emplazado en la zona de madrid capital, posiciona...;40.4196514;-3.6288947;1 hab.;1 baño;Bajo
383.000 €;Piso en calle de Antonio López, 191;/comprar/piso-almendrales28026-4276193132_109700/;Almendrales (Distrito Usera. Madrid Capital);84 m²;V43, portal 5, bajo b. Piso en un edificio de obra nueva de 84 m² de superficie construida y ubicado en la zona de madrid capital,...;40.385194522;-3.695951069;2 habs.;2 baños;Bajo
253.000 €;Piso en calle de San Sinforiano, 4;/comprar/piso-casco_historico_de_barajas-4380168850_109700/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);49 m²;1º b. Piso en un inmueble de obra nueva de 49 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4731113;-3.5806503;1 hab.;1 baño;1ª planta
465.000 €;Piso en calle de la Infanta Mercedes, 91;/comprar/piso-castillejos28020-3597115492_109700/;Castillejos (Distrito Tetuán. Madrid Capital);50 m²;Bajo a. V01. Piso en un edificio de obra nueva de 50 m² de superficie útil y ubicado en la zona de madrid capital, enclavado en pl...;40.4624735;-3.6946876;2 habs.;2 baños;Bajo
355.700 €;Piso en calle Ilusion, 22;/comprar/piso-el_canaveral-4009076470_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);102 m²;P.3 6ºd v26. Piso en una finca de obra nueva de 102 m² de superficie construida y emplazado en la zona de madrid capital, posicion...;40.404742073;-3.555921144;2 habs.;2 baños;6ª planta
500.000 €;Piso en calle del Marqués de Ahumada, 5;/comprar/piso-guindalera28028-4508023932_109700/;Guindalera (Distrito Salamanca. Madrid Capital);48 m²;2º j. Piso en un inmueble de obra nueva de 48 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4364267;-3.6692407;1 hab.;1 baño;2ª planta
735.000 €;Piso en calle de Caleruega, 79;/comprar/piso-costillares-2011019539_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);146 m²;3º g. Piso en una finca de obra nueva de 146 m² de superficie construida y emplazado en la zona de madrid capital, posicionado en ...;40.4833397;-3.6685473;3 habs.;2 baños;
255.000 €;Piso en calle de Rufino González, 59;/comprar/piso-san_blas_simancas28037-4102018785_109700/;Simancas (Distrito San Blas. Madrid Capital);65 m²;1º a. Vt1. Piso en un edificio de obra nueva de 65 m² de superficie construida y ubicado en la zona de madrid capital, enclavado e...;40.4341242;-3.6245248;1 hab.;1 baño;1ª planta
376.900 €;Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas,  S/N;/comprar/piso-el_canaveral-4571012794_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);100 m²;Piso en un edificio de obra nueva de 100 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 2...;40.3944;-3.55277;2 habs.;2 baños;
920.000 €;Ático en calle de Caleruega, 79;/comprar/atico-costillares-1768011289_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);117 m²;Ático e. Ático en una finca de obra nueva de 117 m² de superficie construida y emplazado en la zona de madrid capital, posicionado...;40.4833397;-3.6685473;2 habs.;2 baños;
257.000 €;Piso en calle de Bravo Murillo;/comprar/piso-tetuan_cuatro_caminos28020-40010131477_100500/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);70 m²;Urbanissimo real estate comercializa  vivienda exterior estilo loft con terraza en el barrio de tetuán, ubicado en  la planta baja...;40.4509375;-3.703591;2 habs.;1 baño;Bajo
199.000 €;Piso en calle de Vicenta Pachón;/comprar/piso-carabanchel_san_isidro28019-41727122295_998937/;San Isidro (Distrito Carabanchel. Madrid Capital);84 m²;"Ingesul vende

Piso bajo, exterior, muy luminoso en muy buen estado, en un edificio de 2004. Piso distribuido en salón-comedor, co...";40.3949041;-3.7255272;1 hab.;2 baños;Bajo
240.000 €;Piso en calle del Olivo;/comprar/piso-moncloa_aravaca_aravaca28023-44209396723_100500/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);69 m²;Descubre el potencial de este bajo de 65 metros cuadrados, ubicado en el corazón de aravaca, una de las zonas más tranquilas y des...;40.4589342;-3.7797328;3 habs.;1 baño;Bajo
