precio;sub_descr;href;ubicacion;banios;mt2;planta;otros;latitude;longitude;habitaciones
3.300 €/mes;Ático en calle del Pensamiento;/alquilar/atico-castillejos28020-10933250578_996542/;Castillejos (Distrito Tetuán. Madrid Capital);2 baños;110 m²;;"Diplomatic real estate alquila atico con mobiliario actual y terraza de 20 m²
Salón amplio, 3 dormitorios y 2 baños
Cocina equipa...";40.4586928;-3.6953146;3 habs.
3.400 €/mes;Piso en calle de Fomento;/alquilar/piso-centro_palacio28013-40917563853_996542/;Palacio (Distrito Centro. Madrid Capital);2 baños;99 m²;2ª planta;Diplomatic real estate ofrece bonito piso amueblado en palacio-centro a escasos metros de la plaza de españa. En magnifica ubicaci...;40.4220254;-3.7110628;2 habs.
2.000 €/mes;Dúplex en calle de Elvira;/alquilar/duplex-fuente_del_berro28028-40835760087_996542/;Fuente del Berro (Distrito Salamanca. Madrid Capital);2 baños;81 m²;Bajo;Diplomatic real estate ofrece excelente dúplex reformado y amueblado de 81 m² en el barrio de salamanca- fuente del berro, en muy ...;40.4232993;-3.6653729;2 habs.
6.950 €/mes;Piso en Paseo del General Martínez Campos;/alquilar/piso-chamberi_almagro28010-35858995827_996542/;Almagro (Distrito Chamberí. Madrid Capital);4 baños;218 m²;6ª planta;Diplomatic real estate ofrece piso de lujo en chamberí.  Reforma de gran calidad con materiales de primera clase y diseño moderno....;40.434844;-3.6978782;3 habs.
4.300 €/mes;Piso en calle de Serrano Galvache;/alquilar/piso-costillares-30850983328_996542/;Costillares (Distrito Ciudad Lineal. Madrid Capital);3 baños;173 m²;11ª planta;Diplomatic real estate ofrece fantástica vivienda reformada de lujo, amueblada con muebles de diseño, y ubicada en edificio modern...;40.473202;-3.6719738;3 habs.
2.000 €/mes;Piso en calle de Manuela Malasaña;/alquilar/piso-universidad_malasana28004-39207177076_107700/;Universidad-Malasaña (Distrito Centro. Madrid Capital);2 baños;80 m²;;"Fantástica vivienda, junto a la glorieta de bilbao. Muy luminosa. Interior a un gran patio de manzana.
Recientemente reformada con...";40.428544;-3.7031017;2 habs.
5.500 €/mes;Ático en calle de Fortuny;/alquilar/atico-chamberi_almagro28010-95080073333_996542/;Almagro (Distrito Chamberí. Madrid Capital);3 baños;170 m²;;"Diplomatic real estate ofrece magnífico ático dúplex en edificio clásico muy representativo de 1960.
Salón con techos altos y mold...";40.4291665;-3.6908899;4 habs.
1.900 €/mes;Piso en calle de José Ortega y Gasset;/alquilar/piso-salamanca_castellana28006-25024856189_996542/;Castellana (Distrito Salamanca. Madrid Capital);1 baño;67 m²;6ª planta;"Diplomatic real estate ofrece apartamento moderno amueblado en el barrio de salamanca-
Disponible el 22 de febrero.
Salón comedor ...";40.4295428;-3.6714209;1 hab.
4.100 €/mes;Piso en Paseo de la Castellana;/alquilar/piso-nueva_espana28046-35099995802_996542/;Nueva España (Distrito Chamartín. Madrid Capital);3 baños;225 m²;7ª planta;"Diploomatic real estate ofrece piso con mucha luz natural desde su planta 7ª.
Reformado.
Salón de 40 m²., con chimenea y ventanal ...";40.4499298;-3.6902226;4 habs.
2.400 €/mes;Apartamento en calle Gran Vía;/alquilar/apartamento-centro_palacio28013-40859382587_100500/;Palacio (Distrito Centro. Madrid Capital);2 baños;92 m²;6ª planta;Dentro de este piso de 2 dormitorios, una cocina abierta, un comedor y una sala de estar dominan el espacio principal. En una esqu...;40.4227622;-3.7094595;2 habs.
8.000 €/mes;Piso en calle del Conde de Aranda;/alquilar/piso-recoletos28001-945856909415561_109700/;Recoletos (Distrito Salamanca. Madrid Capital);4 baños;240 m²;3ª planta;Magnífico piso amueblado junto al retiro. Reforma integral a estrenar. Salón de 35 m² y comedor independiente. 3 dormitorio en sui...;40.4218797;-3.6872888;3 habs.
3.300 €/mes;Piso en calle de Fomento;/alquilar/piso-centro_palacio28013-40925994709_996542/;Palacio (Distrito Centro. Madrid Capital);2 baños;85 m²;4ª planta;Diplomatic real estate ofrece bonito piso amueblado en palacio-centro a escasos metros de la plaza de españa. En magnifica ubicaci...;40.4221393;-3.7111227;2 habs.
1.800 €/mes;Piso en calle de Maudes;/alquilar/piso-rios_rosas28003-40027536010_107700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 baños;115 m²;;Luminosidad, es la principal característica de este bonito piso totalmente reformado en pleno barrio de chamberi. la vivienda cons...;40.4452637;-3.700357;2 habs.
2.500 €/mes;Piso en calle de Juan Ramón Jiménez, 8;/alquilar/piso-castilla28036-18333395120_521170/;Castilla (Distrito Chamartín. Madrid Capital);2 baños;95 m²;7ª planta;A estrenar, espectacular reforma, diseñado todo al milímetro para dar un ambiente acogedor pero sin perder el lujo de vivir en un ...;40.458498657738545;-3.68656016188674;1 hab.
4.850 €/mes;Ático en calle de Blanca de Navarra;/alquilar/atico-chamberi_almagro28010-39245437158_996542/;Almagro (Distrito Chamberí. Madrid Capital);3 baños;176 m²;;"Diplomatic ofrece ático dúplex reformado en 2014 en palacete señorial de 1840, con entrada de carruajes. 
Se alquila por temporada...";40.4289568;-3.6929936;3 habs.
1.450 €/mes;Ático en Sanchinarro;/alquilar/atico-sanchinarro28033-40046962822_995477/;Sanchinarro (Distrito Hortaleza. Madrid Capital);1 baño;116 m²;;Precioso atico en urbanización privada, una de las mejores zonas de sanchinarro. Salón-comedor, 2 dormitorios, 1 baño y cocina amu...;40.4912049;-3.6576035;2 habs.
3.550 €/mes;Piso en calle de Sagasta;/alquilar/piso-justicia_chueca28004-37585930827_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;110 m²;3ª planta;"Diplomatic ofrece precioso piso con mobiliario moderno en el barrio de justicia
2 balcones y mirador
Salón comedor de 24 m². 2 dor...";40.4283851;-3.7000014;2 habs.
11.000 €/mes;Piso en calle de José Ortega y Gasset;/alquilar/piso-salamanca_castellana28006-32508970780_996542/;Castellana (Distrito Salamanca. Madrid Capital);4 baños;420 m²;1ª planta;"Diplomatic real estate ofrece piso representativo en el distrito de salamanca-
Salón de 50 m².,  con chimenea o suelos de mármo.
C...";40.4300456;-3.6816441;4 habs.
2.100 €/mes;Piso en calle del Clavel;/alquilar/piso-justicia_chueca28004-38363975683_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;110 m²;4ª planta;"Piso, madrid (madrid centro)

Alquilo hermoso dúplex en el corazón de chueca, segunda planta abuhardillada, a cinco minutos andand...";40.419739108;-3.699712243;2 habs.
3.350 €/mes;Piso en calle de Fomento;/alquilar/piso-centro_palacio28013-40845277278_996542/;Palacio (Distrito Centro. Madrid Capital);2 baños;95 m²;3ª planta;Diplomatic real estate ofrece bonito piso amueblado en palacio-centro a escasos metros de la plaza de españa. En magnifica ubicaci...;40.4219041;-3.7109797;2 habs.
2.100 €/mes;Piso en calle de Menorca;/alquilar/piso-ibiza28009-41684405590_100500/;Ibiza (Distrito Retiro. Madrid Capital);1 baño;75 m²;4ª planta;"Piso, madrid (retiro)

Se alquila piso en calle menorca, cuarta planta, a 3 minutos andando del retiro y a dos del hospital gregor...";40.419525;-3.6758804;2 habs.
2.000 €/mes;Piso en calle de Juan Ramón Jiménez, 8;/alquilar/piso-castilla28036-9215134633_521170/;Castilla (Distrito Chamartín. Madrid Capital);1 baño;84 m²;4ª planta;Amplio y magnífico piso recién reformado, muy luminoso en pleno corazón del distrito financiero de madrid, a tan sólo unos minutos...;40.458498657738545;-3.6865601618867396;1 hab.
8.300 €/mes;Piso en Almagro;/alquilar/piso-chamberi_almagro28010-945856909495658_109700/;Almagro (Distrito Chamberí. Madrid Capital);4 baños;366 m²;6ª planta;Piso de lujo reformado con magníficas calidades. 4  dormitorios, el  pincipal muy amplio con baño en suite y vestidor. Otros 2 dor...;40.4383337;-3.694076;5 habs.
3.500 €/mes;Piso en calle Lagasca;/alquilar/piso-recoletos28001-40836676804_100500/;Recoletos (Distrito Salamanca. Madrid Capital);2 baños;100 m²;6ª planta;"Piso, madrid (salamanca)
Alquiler de precioso ático de 100m² (sin muebles), en la calle lagasca semi-esquina con la calle hermosil...";40.4262136;-3.6854256;2 habs.
2.000 €/mes;Piso en calle Manuel Guerrero;/alquilar/piso-universidad_malasana28004-32587125489_996542/;Universidad-Malasaña (Distrito Centro. Madrid Capital);1 baño;85 m²;1ª planta;"Diplomatic real estate ofrece piso amueblado a poca distancia de metro noviciado.
Salón de 45 m². , y comedor con balcón a la call...";40.4257937;-3.7085272;2 habs.
950 €/mes;Piso en Simancas;/alquilar/piso-san_blas_simancas28037-41674582479_995477/;Simancas (Distrito San Blas. Madrid Capital);1 baño;45 m²;5ª planta;Precioso loft seminuevo, 40m² diáfano con cocina americana amueblada con electrodomésticos, lavadora, lavavajillas, horno , microo...;40.4386502;-3.6192186;
3.200 €/mes;Piso en calle Gran Vía;/alquilar/piso-universidad_malasana28004-35053241457_996542/;Universidad-Malasaña (Distrito Centro. Madrid Capital);2 baños;82 m²;4ª planta;"Diplomatic real estate ofrece piso moderno con buen mobiliario a un paso de plaza de españa.
Salón comedor de 26 m² y recibidor.
2...";40.4224742;-3.7097727;2 habs.
1.500 €/mes;Piso en calle de Palencia;/alquilar/piso-tetuan_cuatro_caminos28020-26747866143_101800/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);1 baño;65 m²;1ª planta;Inmobiliaria maqueda alquila estupendo piso amueblado y reformado en pleno centro de madrid a pocos metros de la av principal de b...;40.4495454;-3.6996418;1 hab.
8.500 €/mes;Piso en calle del Barquillo;/alquilar/piso-justicia_chueca28004-98408784959_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);4 baños;290 m²;1ª planta;"Piso de lujo en justicia. Reforma de máxima calidad a estrenar.
 Mobilirio de diseño. 
Salón comedor de 55 m² con 5 balcones a la ...";40.4212843;-3.6957974;4 habs.
900 €/mes;Piso en Bellas Vistas;/alquilar/piso-bellas_vistas28039-41716949645_518589/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;45 m²;2ª planta;"Se alquiler precioso apartamento para cortas estancias de 2 a 3 meses (marzo, abril y mayo)

Situado en el barrio de tetuán, cerca...";40.4577099;-3.7094839;1 hab.
1.950 €/mes;Piso en Ciudad Universitaria;/alquilar/piso-ciudad_universitaria28035-41704604980_995477/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);2 baños;115 m²;12ª planta;Fantástico piso de 115m² sin amueblar,en urbanización con piscina, pistadeportiva polivalente y zona infantil, 3 dormitorios con a...;40.4685988;-3.7253294;3 habs.
6.000 €/mes;Chalet unifamiliar en Avenida de Fuentelarreina;/alquilar/chalet_unifamiliar-fuentelarreina28035-15094991482_996542/;Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital);6 baños;510 m²;;"Diplomatic real estate ofrece chalet independiente en puerta de hierro del año 1970. Parcela de 1.390 m² con jardín y piscina. 
4 ...";40.4733677;-3.749354;5 habs.
3.350 €/mes;Piso en calle de García de Paredes;/alquilar/piso-chamberi_almagro28010-31716939152_996542/;Almagro (Distrito Chamberí. Madrid Capital);1 baño;94 m²;2ª planta;"Diplomatic real estate ofrece piso en alquiler para cortas y largas temporadas.
 A la renta hay que incrementar el 10 %.
Se distri...";40.436776;-3.6906338;1 hab.
1.200 €/mes;Piso en calle de Coslada;/alquilar/piso-guindalera28028-41695751732_107700/;Guindalera (Distrito Salamanca. Madrid Capital);1 baño;41 m²;;Magnífico apartamento, totalmente amueblado, situado junto al intercambiador de avenida de américa. Super-comunicado, y con todo t...;40.4372161;-3.6756942;1 hab.
1.750 €/mes;Apartamento en calle del Río;/alquilar/apartamento-centro_palacio28013-40087521108_996542/;Palacio (Distrito Centro. Madrid Capital);1 baño;28 m²;Bajo;Diplomatic real estate ofrece bonito apartamento amueblado en palacio-centro a escasos metros de la plaza de españa. En magnifica ...;40.4223197;-3.7114456;1 hab.
3.500 €/mes;Ático en calle de Casado del Alisal;/alquilar/atico-jeronimos28014-2501465091_996542/;Jerónimos (Distrito Retiro. Madrid Capital);3 baños;90 m²;;Diplomatic real estate ofrece ático reformado con materiales de excelente calidad, de diseño, amueblada, ubicada en edificio clási...;40.4140538;-3.6898259;2 habs.
1.850 €/mes;Apartamento en calle del Río;/alquilar/apartamento-centro_palacio28013-40065513549_996542/;Palacio (Distrito Centro. Madrid Capital);1 baño;50 m²;Bajo;Diplomatic real estate ofrece bonito apartamento amueblado  de 48m²,en palacio-centro a escasos metros de la plaza de españa. En m...;40.4221867;-3.7117196;1 hab.
2.500 €/mes;Piso en calle de la Alameda;/alquilar/piso-cortes_huertas28012-26739678815_996542/;Cortes-Huertas (Distrito Centro. Madrid Capital);3 baños;100 m²;1ª planta;"Diplomatic real estate ofrece piso en el barrio de las letras, reformado con mobiliario de diseño. Disponible el 1 de junio,
Salón...";40.4122901;-3.6937903;2 habs.
2.500 €/mes;Piso en calle de Goya;/alquilar/piso-goya28009-41703981733_100500/;Goya (Distrito Salamanca. Madrid Capital);2 baños;120 m²;4ª planta;El viso inmobiliaria ofrece magnífico piso amueblado de 120 m²c (unos 90 útiles) de 2 dormitorios con 2 baños. Exterior, muy lumin...;40.424763;-3.6716955;2 habs.
3.800 €/mes;Piso en calle Gran Vía;/alquilar/piso-sol_barrio28013-30078925392_996542/;Sol (Distrito Centro. Madrid Capital);2 baños;148 m²;3ª planta;Diplomatic real estate ofrece piso amueblado en edificio con zonas comunes, gimnasio( technogym) y extraordinara terraza con hamac...;40.42023;-3.7019733;2 habs.
3.400 €/mes;Piso en calle de Sagasta;/alquilar/piso-justicia_chueca28004-9264417245_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;111 m²;1ª planta;"Diza consultores les presenta este piso amueblado de 111 metros cuadrados en la calle sagasta.

Ubicado en un primer piso, esta vi...";40.4281871;-3.6990381;2 habs.
3.000 €/mes;Dúplex en calle de Tremp, 12;/alquilar/duplex-ciudad_universitaria28040-40069133013_100500/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);3 baños;270 m²;3ª planta;"Espectacular vivienda en madrid, al lado de la dehesa de la villa; consta de hall de entrada, cuatro dormitorios dobles, con terra...";40.4555;-3.71589;4 habs.
1.350 €/mes;Piso en calle Jorge Juan;/alquilar/piso-goya28009-40082362001_100200/;Goya (Distrito Salamanca. Madrid Capital);1 baño;50 m²;4ª planta;Agencia inmobiliaria de madrid - zona salamanca - goya - retiro alquila espectacular piso en calle jorge juan compuesto de dos dor...;40.4233695;-3.6737682;2 habs.
1.800 €/mes;Apartamento en calle de Juan Ramón Jiménez, 8;/alquilar/apartamento-chamartin_hispanoamerica28036-5071111647_100100/;Hispanoamérica (Distrito Chamartín. Madrid Capital);1 baño;76 m²;6ª planta;Expectacular piso en alquiler, muy luminoso, totalmente reformado, ubicado en el corazón del distrito financiero de madrid, a tan ...;40.4584;-3.68661;1 hab.
7.000 €/mes;Chalet en Hortaleza;/alquilar/chalet-piovera28043-38406987633_109300/;Piovera (Distrito Hortaleza. Madrid Capital);6 baños;482 m²;;En la zona de arturo soria, al lado del conde orgaz, se alquila un impresionante chalet con 6 habitaciones y 6 baños. Con magnific...;40.4554985;-3.6484816;6 habs.
1.650 €/mes;Dúplex en calle de Juan Bravo;/alquilar/duplex-lista_barrio28006-41722487317_100500/;Lista (Distrito Salamanca. Madrid Capital);1 baño;54 m²;1ª planta;Diza consultores les presenta este  loft duplex, (disponible 15 de marzo) en pleno barrio de salamanca, apartamento de 1 dormitori...;40.4323281;-3.6770334;1 hab.
9.000 €/mes;Piso en calle de José Ortega y Gasset;/alquilar/piso-salamanca_castellana28006-31727032725_996542/;Castellana (Distrito Salamanca. Madrid Capital);4 baños;420 m²;3ª planta;"Diplomatic real estate ofrece magnífico piso de 420 m²., con 3 plazas de garaje y trastero.
Salón de 50 m²., y comedor independien...";40.4300456;-3.6816441;4 habs.
3.500 €/mes;Piso en calle del Conde de Cartagena;/alquilar/piso-nino_jesus28007-41669093307_100500/;Niño Jesús (Distrito Retiro. Madrid Capital);3 baños;165 m²;9ª planta;"Piso, madrid (retiro)

Se alquila espectacular piso de lujo de 150 metros útiles en niño jesús. La vivienda es completamente exter...";40.4094818;-3.6771661;4 habs.
6.900 €/mes;Piso en calle de Fernando VI;/alquilar/piso-justicia_chueca28004-40079774633_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);5 baños;249 m²;2ª planta;"Diza consultores les presenta este piso exterior reformado en justicia.

Se trata de una vivienda exterior, completamente amueblad...";40.4256525;-3.6966046;4 habs.
2.000 €/mes;Piso en calle de Hilarión Eslava;/alquilar/piso-gaztambide28015-39187198012_100500/;Gaztambide (Distrito Chamberí. Madrid Capital);3 baños;138 m²;1ª planta;"Piso, madrid (chamberí)

No estudiantes, solo familias

Moncloa - argüelles

Lujosa vivienda familiar recién reformada a estrenar,...";40.4332847;-3.7168785;4 habs.
2.040 €/mes;Piso en calle del General Álvarez de Castro;/alquilar/piso-trafalgar28010-41725834643_100500/;Trafalgar (Distrito Chamberí. Madrid Capital);1 baño;92 m²;4ª planta;"Piso, madrid (chamberí)

Piso amueblado en una zona tranquila muy luminoso, exterior consta de dos habitaciones, un baño y cocina ...";40.4382013;-3.7023676;2 habs.
3.200 €/mes;Piso en Lista;/alquilar/piso-lista_barrio28001-945856909199973_109700/;Lista (Distrito Salamanca. Madrid Capital);2 baños;105 m²;6ª planta;Piso moderno, impecable con 1 plaza de garaje en el propio edificio. Jardín comunitario con padel y gimnasio. Salón de 26 m² con g...;40.4259289;-3.6777457;2 habs.
8.300 €/mes;Piso en calle de José Abascal;/alquilar/piso-chamberi_almagro28010-36766388148_100500/;Almagro (Distrito Chamberí. Madrid Capital);4 baños;366 m²;5ª planta;"Diza consultores les presenta este piso exterior reformado en almagro. 

Al entrar se encuentra con amplio hall, gran salón con ch...";40.4383253;-3.6932338;5 habs.
2.500 €/mes;Piso en calle de Jerónimo de la Quintana;/alquilar/piso-trafalgar28010-41699958862_100500/;Trafalgar (Distrito Chamberí. Madrid Capital);2 baños;124 m²;4ª planta;"Piso, madrid (chamberí)

Apartamento recién reformado a estrenar en el barrio de trafalgar.

- reforma integral cambiando todo el ...";40.4312849;-3.7042027;3 habs.
2.900 €/mes;Piso en calle de Andrés Mellado;/alquilar/piso-gaztambide28015-41711614748_100500/;Gaztambide (Distrito Chamberí. Madrid Capital);2 baños;95 m²;5ª planta;"Piso, madrid (chamberí)

Piso a estrenar, todo exterior y con mucha luz, completamente amueblado, con reforma y muebles de diseño ...";40.4332772;-3.7143099;2 habs.
3.700 €/mes;Ático en calle de San Bernardo;/alquilar/atico-trafalgar28015-23394509451_996542/;Trafalgar (Distrito Chamberí. Madrid Capital);2 baños;122 m²;;"Diplomatic real estate ofrece ático de obra nueva en finca con zonas verdes, piscina  gimnasio.
Hall de entrada con salón comedor ...";40.432128509;-3.704964513;2 habs.
3.500 €/mes;Piso en calle de Sagasta;/alquilar/piso-justicia_chueca28004-35001750753_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;126 m²;2ª planta;"Diplomatic real estate ofrece piso con mobiliario moderno. Al precio hay que añadir 10% de iva.
Salón con balcón a la calle.
2 dor...";40.4281871;-3.6990381;2 habs.
6.500 €/mes;Piso en calle de Juan Bravo;/alquilar/piso-salamanca_castellana28006-37558398811_100500/;Castellana (Distrito Salamanca. Madrid Capital);5 baños;334 m²;1ª planta;Diza consultores les  presenta una oportunidad excepcional en el corazón de barrio salamanca, madrid: una vivienda de lujo en la p...;40.4325352;-3.6811678;4 habs.
2.000 €/mes;Piso en Ronda de Segovia;/alquilar/piso-imperial28005-41720221009_100500/;Imperial (Distrito Arganzuela. Madrid Capital);2 baños;123 m²;8ª planta;"Piso, madrid (arganzuela)

Alquiler de hermoso piso sin amueblar, muy espacioso y cómodo para tu familia. Suelos de parqué recién ...";40.408887;-3.7166213;4 habs.
1.170 €/mes;Estudio en calle de Alfonso Fernández Clausells;/alquilar/estudio-ciudad_universitaria28035-40928782895_100500/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);1 baño;25 m²;;Diza consultores te invita a sumergirte en la experiencia exclusiva de nuestro estudio bajo exterior, ubicado en una casa de co-li...;40.4617729;-3.7245219;
2.100 €/mes;Piso en calle del Calvario;/alquilar/piso-centro_embajadores_lavapies28012-41701960418_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 baños;90 m²;1ª planta;"Piso, madrid (madrid centro)
Piso de dos habitaciones y dos baños en pleno centro de madrid, a metros de sol y plaza mayor.
Es una...";40.4114267;-3.7020636;2 habs.
2.400 €/mes;Piso en calle de García de Paredes;/alquilar/piso-chamberi_almagro28010-39179718581_996542/;Almagro (Distrito Chamberí. Madrid Capital);2 baños;100 m²;2ª planta;Diplomatic real estate ofrece excelente piso amueblado de 100m² en el barrio de almagro, en extraordinaria ubicación.el inmueble c...;40.4367379;-3.6941926;1 hab.
3.150 €/mes;Ático en calle de Villanueva;/alquilar/atico-recoletos28001-39249058977_996542/;Recoletos (Distrito Salamanca. Madrid Capital);1 baño;130 m²;;"Diplomátic real estate ofrece ático amueblado en edificio emblemático de colón con vigilancia 24 horas.
 Consumos incluidos hasta ...";40.4223654;-3.6827993;1 hab.
1.750 €/mes;Ático en Plaza de Manolete;/alquilar/atico-tetuan_cuatro_caminos28020-1750037059_996542/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);1 baño;70 m²;;"Atico amueblado con menaje completo y  reforma a estrenar con terraza y vistas espléndidas  a bernabeu. 
2.250 euros por corta tem...";40.4542777;-3.6917587;1 hab.
1.900 €/mes;Dúplex en Avenida de Manoteras;/alquilar/duplex-virgen_del_cortijo_manoteras28050-41751236571_996542/;Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital);3 baños;135 m²;4ª planta;Diplomatic real estate ofrece fantástico tripex amueblado de 135m² en virgen del cortijo-manoteras, en buena ubicación y excelente...;40.4862689;-3.6657576;2 habs.
3.200 €/mes;Apartamento en calle de Atocha;/alquilar/apartamento-centro_embajadores_lavapies28012-40056198795_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 baños;100 m²;4ª planta;"Diza consultores les presenta esta fantástica promoción de obra nueva en pleno centro histórico de madrid.

Se trata de una vivien...";40.4138958;-3.7024534;2 habs.
2.000 €/mes;Piso en calle de Sancho Dávila;/alquilar/piso-fuente_del_berro28028-41753497471_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);2 baños;145 m²;3ª planta;"Piso, madrid (salamanca)

Alquilo alquila piso exterior muy amplio y luminoso recién reformado. Se distribuye en salón-comedor gra...";40.4272226;-3.6617948;4 habs.
3.000 €/mes;Piso en calle de Ayala;/alquilar/piso-recoletos28001-40849040363_100500/;Recoletos (Distrito Salamanca. Madrid Capital);2 baños;110 m²;6ª planta;"Piso, madrid (salamanca)

Piso en calle ayala entre velazquez y lagasca. 110 m², 6ª planta.

-3 habitaciones, 2 baños completos y ...";40.4278825;-3.6846116;3 habs.
2.800 €/mes;Piso en calle de Alcalá;/alquilar/piso-goya28009-41668030290_100500/;Goya (Distrito Salamanca. Madrid Capital);3 baños;200 m²;4ª planta;"Piso, madrid (salamanca)

Amplio luminoso piso en la calle alcalá, junto al corte inglés de goya. (180m²) 
Ideal como despacho pro...";40.4256424;-3.6733993;5 habs.
2.100 €/mes;Piso en calle de Francisco Silvela;/alquilar/piso-lista_barrio28028-41690904642_100500/;Lista (Distrito Salamanca. Madrid Capital);1 baño;135 m²;8ª planta;"Piso, madrid (salamanca)

Este impecable ático cuenta con una amplio salón comedor de 30m², con biblioteca de obra y luces led per...";40.433139381;-3.672947981;2 habs.
3.600 €/mes;Piso en calle Mayor;/alquilar/piso-sol_barrio28013-37599869546_100500/;Sol (Distrito Centro. Madrid Capital);3 baños;167 m²;4ª planta;"Piso, madrid (madrid centro)

Disponible en febrero 2024

Centro. Puerta del sol. Calle mayor; extraordinario piso de 167 m² const...";40.41627;-3.7062134;4 habs.
745 €/mes;Estudio en Acacias;/alquilar/estudio-acacias28005-41740693881_101800/;Acacias (Distrito Arganzuela. Madrid Capital);1 baño;26 m²;;"Ref: 107974

Disponible desde ya

Estudio en alquiler con superficie de 26m². Planta 2da

La vivienda se entrega  y en buen estado...";40.4018686;-3.7015346;1 hab.
6.500 €/mes;Piso en calle de Juan Bravo;/alquilar/piso-salamanca_castellana28006-35898898760_996542/;Castellana (Distrito Salamanca. Madrid Capital);5 baños;334 m²;1ª planta;Diplomatic real estate ofrece fantástica vivienda de lujo, amueblada de diseño, ubicada en edificio clásico y señorial que data de...;40.4328985;-3.6813734;4 habs.
1.300 €/mes;Piso en calle de Germán Pérez Carrasco;/alquilar/piso-ciudad_lineal_quintana-41705190666_100500/;Quintana (Distrito Ciudad Lineal. Madrid Capital);1 baño;72 m²;2ª planta;"Vohome quintana, alquila estupendo piso totalmente reformado, amueblado y equipado.

Ubicado en la 2 planta, de 72 m² construidos,...";40.4365687;-3.6430866;2 habs.
2.190 €/mes;Piso en calle del Río;/alquilar/piso-centro_palacio28013-40005870390_996542/;Palacio (Distrito Centro. Madrid Capital);1 baño;35 m²;1ª planta;Diplomatic real estate ofrece bonito apartamento amueblado en palacio-centro a escasos metros de la plaza de españa. En magnifica ...;40.4223197;-3.7114456;1 hab.
5.550 €/mes;Ático en calle de Sagasta;/alquilar/atico-justicia_chueca28004-9173643627_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;156 m²;;"Diza consultores les presenta este ático amueblado de 156 metros cuadrados en la calle sagasta.

Ubicado en un quinto piso, este á...";40.4283851;-3.7000014;2 habs.
1.800 €/mes;Piso en Avenida del Mediterráneo;/alquilar/piso-retiro_pacifico28007-40848486940_996542/;Pacífico (Distrito Retiro. Madrid Capital);1 baño;95 m²;1ª planta;Diplomatic real estate ofrece bonito piso completamente reformado de 95m² en pacifico-retiro, a escasos metros de la plaza de mari...;40.407512;-3.6763324;2 habs.
3.070 €/mes;Piso en calle de Atocha;/alquilar/piso-centro_embajadores_lavapies28012-38367986255_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 baños;95 m²;5ª planta;Diza consultores tiene el placer de presentarles esta magnífica promoción de viviendas de obra nueva en pleno centro histórico de ...;40.4137617;-3.7026781;2 habs.
4.500 €/mes;Piso en calle de Serrano;/alquilar/piso-salamanca_castellana28006-1678983250_996542/;Castellana (Distrito Salamanca. Madrid Capital);4 baños;247 m²;2ª planta;"Diplomatic real estate ofrece piso de lujo en calle serrano.
Amplio salón con suelos de mármol y ventanales al exterior.
 2 dormit...";40.4349002;-3.6862899;3 habs.
1.200 €/mes;Piso en El Cañaveral;/alquilar/piso-el_canaveral-41760702689_101800/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);2 baños;80 m²;;"Ref: 108389

Disponible desde el 01 de marzo 2024

Piso en alquiler con superficie de 80m², muy luminoso., exterior con orientacio...";40.3982038;-3.547265;2 habs.
1.800 €/mes;Piso en Ventas;/alquilar/piso-fuente_del_berro28028-41722079100_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);2 baños;81 m²;Bajo;"Piso, madrid (salamanca)

Disponible fecha de entrada: 1 de marzo de 2024.

Se alquila dúplex recién reformado en el barrio fuente...";40.4225671;-3.6652491;2 habs.
2.300 €/mes;Apartamento en Avenida de Alberto Alcocer, 12;/alquilar/apartamento-chamartin_hispanoamerica28036-5010584309_100100/;Hispanoamérica (Distrito Chamartín. Madrid Capital);2 baños;95 m²;4ª planta;Algo único en las estancias del eurobuilding de alberto alcocer, 2 habitaciones, 2 baños, terraza y suministros incluidos.magnífic...;40.4585;-3.68595;2 habs.
